"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64789,7.7731e+05,1,0.069828,0.069828,0,0
0.65012,7.764e+05,1,0.069951,0.069951,0,0
0.65236,7.7546e+05,1,0.070074,0.070074,0,0
0.6546,7.7451e+05,1,0.070197,0.070197,0,0
0.65684,7.7357e+05,1,0.07032,0.07032,0,0
0.65909,7.7262e+05,1,0.070443,0.070443,0,0
0.66135,7.7166e+05,1,0.070566,0.070566,0,0
0.66361,7.707e+05,1,0.070689,0.070689,0,0
0.66587,7.6973e+05,1,0.070812,0.070812,0,0
0.66814,7.6877e+05,1,0.070935,0.070935,0,0
0.67043,7.678e+05,1,0.071057,0.071057,0,0
0.67272,7.6683e+05,1,0.07118,0.07118,0,0
0.67501,7.6587e+05,1,0.071303,0.071303,0,0
0.6773,7.6489e+05,1,0.071426,0.071426,0,0
0.6796,7.6388e+05,1,0.071549,0.071549,0,0
0.68189,7.6287e+05,1,0.071672,0.071672,0,0
0.68418,7.6186e+05,1,0.071795,0.071795,0,0
0.68649,7.6084e+05,1,0.071918,0.071918,0,0
0.68881,7.5981e+05,1,0.072041,0.072041,0,0
0.69114,7.5878e+05,1,0.072164,0.072164,0,0
0.69347,7.5775e+05,1,0.072287,0.072287,0,0
0.6958,7.5671e+05,1,0.07241,0.07241,0,0
0.69814,7.5564e+05,1,0.072533,0.072533,0,0
0.70047,7.5457e+05,1,0.072656,0.072656,0,0
0.70281,7.535e+05,1,0.072779,0.072779,0,0
0.70515,7.5242e+05,1,0.072902,0.072902,0,0
0.70751,7.5135e+05,1,0.073024,0.073024,0,0
0.70988,7.5027e+05,1,0.073147,0.073147,0,0
0.71224,7.4919e+05,1,0.07327,0.07327,0,0
0.7146,7.4811e+05,1,0.073393,0.073393,0,0
0.71698,7.4701e+05,1,0.073516,0.073516,0,0
0.71935,7.4591e+05,1,0.073639,0.073639,0,0
0.72172,7.4481e+05,1,0.073762,0.073762,0,0
0.7241,7.4371e+05,1,0.073885,0.073885,0,0
0.7265,7.4258e+05,1,0.074008,0.074008,0,0
