,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
389,84.381,26042000.0,1.3907,7505.6,-2073.7,0,681550.0,-0.60182,614.45,1,0.389,0.389,0.25,0,0.39488747787762923,0.6084489519729186,550.2038088984498
390,83.809,25863000.0,1.3898,7473.9,-2092.3,0,679030.0,-0.61036,614.37,1,0.39,0.39,0.25,0,0.3997350714370226,0.6104128525454406,550.2038088984498
391,83.354,25721000.0,1.3892,7448.6,-2106.9,0,677000.0,-0.6172,614.3,1,0.391,0.391,0.25,0,0.40350067466237305,0.6119572002061822,550.2038088984498
392,82.956,25597000.0,1.3887,7426.5,-2119.4,0,675230.0,-0.62322,614.25,1,0.392,0.392,0.25,0,0.4069653947744165,0.6133587782422755,550.2038088984498
393,82.678,25511000.0,1.3883,7411.0,-2128.0,0,673980.0,-0.62744,614.21,1,0.393,0.393,0.25,0,0.40931044696133745,0.6143200939964127,550.2038088984498
394,82.477,25448000.0,1.388,7399.8,-2134.1,0,673070.0,-0.6305,614.18,1,0.394,0.394,0.25,0,0.4109944476895606,0.6150137279503148,550.2038088984498
395,82.322,25400000.0,1.3879,7391.1,-2139.1,0,672380.0,-0.63286,614.16,1,0.395,0.395,0.25,0,0.4123172845509394,0.6155535684737077,550.2038088984498
396,82.288,25389000.0,1.3878,7388.9,-2140.6,0,672220.0,-0.63339,614.15,1,0.396,0.396,0.25,0,0.41252635732075593,0.6156499689027571,550.2038088984498
397,82.232,25372000.0,1.3877,7385.4,-2143.0,0,671970.0,-0.63425,614.14,1,0.397,0.397,0.25,0,0.4129547653910679,0.6158306321033713,550.2038088984498
398,82.274,25385000.0,1.3877,7387.6,-2142.1,0,672160.0,-0.63361,614.15,1,0.398,0.398,0.25,0,0.4126726639655547,0.6157061630446554,550.2038088984498
399,82.289,25390000.0,1.3877,7388.2,-2142.2,0,672230.0,-0.63337,614.15,1,0.399,0.399,0.25,0,0.412501967028008,0.6156406020826184,550.2038088984498
