,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
73,202.89,75001000.0,1.7,17306,7.3624e-11,0,1499900.0,-1.7864e-15,569.84,1,0.073,0.073,0.25,0,0.7577617356292932
74,202.89,75001000.0,1.7,17306,1.0411e-10,0,1499900.0,-1.874e-15,569.84,1,0.074,0.074,0.25,0,0.7577617356292932
75,202.89,75001000.0,1.7,17306,1.346e-10,0,1499900.0,-1.9615e-15,569.84,1,0.075,0.075,0.25,0,0.7577617356292932
76,202.89,75001000.0,1.7,17306,1.6508e-10,0,1499900.0,-2.0491e-15,569.84,1,0.076,0.076,0.25,0,0.7577617356292932
77,202.89,75001000.0,1.7,17306,1.9557e-10,0,1499900.0,-2.1367e-15,569.84,1,0.077,0.077,0.25,0,0.7577617356292932
78,202.89,75001000.0,1.7,17306,2.2605e-10,0,1499900.0,-2.2243e-15,569.84,1,0.078,0.078,0.25,0,0.7577617356292932
79,202.89,75001000.0,1.7,17306,2.5654e-10,0,1499900.0,-2.3118e-15,569.84,1,0.079,0.079,0.25,0,0.7577617356292932
80,202.89,75001000.0,1.7,17306,2.8703e-10,0,1499900.0,-2.3994e-15,569.84,1,0.08,0.08,0.25,0,0.7577617356292932
81,202.89,75001000.0,1.7,17306,3.1751e-10,0,1499900.0,-2.487e-15,569.84,1,0.081,0.081,0.25,0,0.7577617356292932
82,202.89,75001000.0,1.7,17306,3.48e-10,0,1499900.0,-2.5746e-15,569.84,1,0.082,0.082,0.25,0,0.7577617356292932
83,202.89,75001000.0,1.7,17306,3.7848e-10,0,1499900.0,-2.6621e-15,569.84,1,0.083,0.083,0.25,0,0.7577617356292932
84,202.89,75001000.0,1.7,17306,4.0897e-10,0,1499900.0,-2.7497e-15,569.84,1,0.084,0.084,0.25,0,0.7577617356292932
85,202.89,75001000.0,1.7,17306,4.3946e-10,0,1499900.0,-2.8373e-15,569.84,1,0.085,0.085,0.25,0,0.7577617356292932
86,202.89,75001000.0,1.7,17306,4.6994e-10,0,1499900.0,-2.9249e-15,569.84,1,0.086,0.086,0.25,0,0.7577617356292932
87,202.89,75001000.0,1.7,17306,5.0043e-10,0,1499900.0,-3.0125e-15,569.84,1,0.087,0.087,0.25,0,0.7577617356292932
88,202.89,75001000.0,1.7,17306,5.3091e-10,0,1499900.0,-3.1e-15,569.84,1,0.088,0.088,0.25,0,0.7577617356292932
