,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,s
79,202.89,75001000.0,1.7,17306,9.9319e-12,0,1499900.0,-1.1573e-14,569.84,1,0.079,0.079,0.25,0,0.7577617356292932,738.0612411760285
80,202.89,75001000.0,1.7,17306,1.0642e-11,0,1499900.0,-1.1261e-14,569.84,1,0.08,0.08,0.25,0,0.7577617356292932,738.0612411760285
81,202.89,75001000.0,1.7,17306,1.1352e-11,0,1499900.0,-1.0948e-14,569.84,1,0.081,0.081,0.25,0,0.7577617356292932,738.0612411760285
82,202.89,75001000.0,1.7,17306,1.2062e-11,0,1499900.0,-1.0636e-14,569.84,1,0.082,0.082,0.25,0,0.7577617356292932,738.0612411760285
83,202.89,75001000.0,1.7,17306,1.2772e-11,0,1499900.0,-1.0324e-14,569.84,1,0.083,0.083,0.25,0,0.7577617356292932,738.0612411760285
84,202.89,75001000.0,1.7,17306,1.3482e-11,0,1499900.0,-1.0012e-14,569.84,1,0.084,0.084,0.25,0,0.7577617356292932,738.0612411760285
85,202.89,75001000.0,1.7,17306,1.4192e-11,0,1499900.0,-9.6995e-15,569.84,1,0.085,0.085,0.25,0,0.7577617356292932,738.0612411760285
86,202.89,75001000.0,1.7,17306,1.4901e-11,0,1499900.0,-9.3873e-15,569.84,1,0.086,0.086,0.25,0,0.7577617356292932,738.0612411760285
87,202.89,75001000.0,1.7,17306,1.5611e-11,0,1499900.0,-9.0751e-15,569.84,1,0.087,0.087,0.25,0,0.7577617356292932,738.0612411760285
88,202.89,75001000.0,1.7,17306,1.6321e-11,0,1499900.0,-8.7628e-15,569.84,1,0.088,0.088,0.25,0,0.7577617356292932,738.0612411760285
89,202.89,75001000.0,1.7,17306,1.6038e-11,0,1499900.0,-8.4633e-15,569.84,1,0.089,0.089,0.25,0,0.7577617356292932,738.0612411760285
90,202.89,75001000.0,1.7,17306,1.5593e-11,0,1499900.0,-8.1658e-15,569.84,1,0.09,0.09,0.25,0,0.7577617356292932,738.0612411760285
91,202.89,75001000.0,1.7,17306,1.6107e-11,0,1499900.0,-8.0942e-15,569.84,1,0.091,0.091,0.25,0,0.7577617356292932,738.0612411760285
92,202.89,75001000.0,1.7,17306,1.7122e-11,0,1499900.0,-8.1406e-15,569.84,1,0.092,0.092,0.25,0,0.7577617356292932,738.0612411760285
93,202.89,75001000.0,1.7,17306,1.8136e-11,0,1499900.0,-8.1871e-15,569.84,1,0.093,0.093,0.25,0,0.7577617356292932,738.0612411760285
94,202.89,75001000.0,1.7,17306,1.9151e-11,0,1499900.0,-8.2335e-15,569.84,1,0.094,0.094,0.25,0,0.7577617356292932,738.0612411760285
95,202.89,75001000.0,1.7,17306,2.0166e-11,0,1499900.0,-8.28e-15,569.84,1,0.095,0.095,0.25,0,0.7577617356292932,738.0612411760285
96,202.89,75001000.0,1.7,17306,2.118e-11,0,1499900.0,-8.3264e-15,569.84,1,0.096,0.096,0.25,0,0.7577617356292932,738.0612411760285
97,202.89,75001000.0,1.7,17306,2.2195e-11,0,1499900.0,-8.3729e-15,569.84,1,0.097,0.097,0.25,0,0.7577617356292932,738.0612411760285
98,202.89,75001000.0,1.7,17306,2.321e-11,0,1499900.0,-8.4193e-15,569.84,1,0.098,0.098,0.25,0,0.7577617356292932,738.0612411760285
99,202.89,75001000.0,1.7,17306,2.4224e-11,0,1499900.0,-8.4657e-15,569.84,1,0.099,0.099,0.25,0,0.7577617356292932,738.0612411760285
100,202.89,75001000.0,1.7,17306,2.5239e-11,0,1499900.0,-8.5122e-15,569.84,1,0.1,0.1,0.25,0,0.7577617356292932,738.0612411760285
101,202.89,75001000.0,1.7,17306,2.6253e-11,0,1499900.0,-8.5586e-15,569.84,1,0.101,0.101,0.25,0,0.7577617356292932,738.0612411760285
102,202.89,75001000.0,1.7,17306,2.7268e-11,0,1499900.0,-8.6051e-15,569.84,1,0.102,0.102,0.25,0,0.7577617356292932,738.0612411760285
103,202.89,75001000.0,1.7,17306,2.8283e-11,0,1499900.0,-8.6515e-15,569.84,1,0.103,0.103,0.25,0,0.7577617356292932,738.0612411760285
104,202.89,75001000.0,1.7,17306,2.9297e-11,0,1499900.0,-8.698e-15,569.84,1,0.104,0.104,0.25,0,0.7577617356292932,738.0612411760285
105,202.89,75001000.0,1.7,17306,3.0312e-11,0,1499900.0,-8.7444e-15,569.84,1,0.105,0.105,0.25,0,0.7577617356292932,738.0612411760285
106,202.89,75001000.0,1.7,17306,3.1326e-11,0,1499900.0,-8.7909e-15,569.84,1,0.106,0.106,0.25,0,0.7577617356292932,738.0612411760285
107,202.89,75001000.0,1.7,17306,3.2341e-11,0,1499900.0,-8.8373e-15,569.84,1,0.107,0.107,0.25,0,0.7577617356292932,738.0612411760285
108,202.89,75001000.0,1.7,17306,3.3356e-11,0,1499900.0,-8.8838e-15,569.84,1,0.108,0.108,0.25,0,0.7577617356292932,738.0612411760285
109,202.89,75001000.0,1.7,17306,3.3532e-11,0,1499900.0,-9.1628e-15,569.84,1,0.109,0.109,0.25,0,0.7577617356292932,738.0612411760285
110,202.89,75001000.0,1.7,17306,3.3081e-11,0,1499900.0,-9.6157e-15,569.84,1,0.11,0.11,0.25,0,0.7577617356292932,738.0612411760285
111,202.89,75001000.0,1.7,17306,3.288e-11,0,1499900.0,-9.9355e-15,569.84,1,0.111,0.111,0.25,0,0.7577617356292932,738.0612411760285
112,202.89,75001000.0,1.7,17306,3.3167e-11,0,1499900.0,-9.9948e-15,569.84,1,0.112,0.112,0.25,0,0.7577617356292932,738.0612411760285
113,202.89,75001000.0,1.7,17306,3.3453e-11,0,1499900.0,-1.0054e-14,569.84,1,0.113,0.113,0.25,0,0.7577617356292932,738.0612411760285
114,202.89,75001000.0,1.7,17306,3.3739e-11,0,1499900.0,-1.0114e-14,569.84,1,0.114,0.114,0.25,0,0.7577617356292932,738.0612411760285
115,202.89,75001000.0,1.7,17306,3.4026e-11,0,1499900.0,-1.0173e-14,569.84,1,0.115,0.115,0.25,0,0.7577617356292932,738.0612411760285
116,202.89,75001000.0,1.7,17306,3.4312e-11,0,1499900.0,-1.0232e-14,569.84,1,0.116,0.116,0.25,0,0.7577617356292932,738.0612411760285
117,202.89,75001000.0,1.7,17306,3.4599e-11,0,1499900.0,-1.0292e-14,569.84,1,0.117,0.117,0.25,0,0.7577617356292932,738.0612411760285
118,202.89,75001000.0,1.7,17306,3.4885e-11,0,1499900.0,-1.0351e-14,569.84,1,0.118,0.118,0.25,0,0.7577617356292932,738.0612411760285
119,202.89,75001000.0,1.7,17306,3.5172e-11,0,1499900.0,-1.041e-14,569.84,1,0.119,0.119,0.25,0,0.7577617356292932,738.0612411760285
120,202.89,75001000.0,1.7,17306,3.5458e-11,0,1499900.0,-1.047e-14,569.84,1,0.12,0.12,0.25,0,0.7577617356292932,738.0612411760285
121,202.89,75001000.0,1.7,17306,3.5745e-11,0,1499900.0,-1.0529e-14,569.84,1,0.121,0.121,0.25,0,0.7577617356292932,738.0612411760285
122,202.89,75001000.0,1.7,17306,3.6031e-11,0,1499900.0,-1.0589e-14,569.84,1,0.122,0.122,0.25,0,0.7577617356292932,738.0612411760285
123,202.89,75001000.0,1.7,17306,3.6318e-11,0,1499900.0,-1.0648e-14,569.84,1,0.123,0.123,0.25,0,0.7577617356292932,738.0612411760285
124,202.89,75001000.0,1.7,17306,3.6604e-11,0,1499900.0,-1.0707e-14,569.84,1,0.124,0.124,0.25,0,0.7577617356292932,738.0612411760285
125,202.89,75001000.0,1.7,17306,3.689e-11,0,1499900.0,-1.0767e-14,569.84,1,0.125,0.125,0.25,0,0.7577617356292932,738.0612411760285
126,202.89,75001000.0,1.7,17306,3.7177e-11,0,1499900.0,-1.0826e-14,569.84,1,0.126,0.126,0.25,0,0.7577617356292932,738.0612411760285
127,202.89,75001000.0,1.7,17306,3.7463e-11,0,1499900.0,-1.0885e-14,569.84,1,0.127,0.127,0.25,0,0.7577617356292932,738.0612411760285
128,202.89,75001000.0,1.7,17306,3.775e-11,0,1499900.0,-1.0945e-14,569.84,1,0.128,0.128,0.25,0,0.7577617356292932,738.0612411760285
129,202.89,75001000.0,1.7,17306,3.778e-11,0,1499900.0,-1.0952e-14,569.84,1,0.129,0.129,0.25,0,0.7577617356292932,738.0612411760285
130,202.89,75001000.0,1.7,17306,3.67e-11,0,1499900.0,-1.0732e-14,569.84,1,0.13,0.13,0.25,0,0.7577617356292932,738.0612411760285
131,202.89,75001000.0,1.7,17306,3.588e-11,0,1499900.0,-1.0468e-14,569.84,1,0.131,0.131,0.25,0,0.7577617356292932,738.0612411760285
132,202.89,75001000.0,1.7,17306,3.6987e-11,0,1499900.0,-9.8744e-15,569.84,1,0.132,0.132,0.25,0,0.7577617356292932,738.0612411760285
133,202.89,75001000.0,1.7,17306,3.8093e-11,0,1499900.0,-9.2805e-15,569.84,1,0.133,0.133,0.25,0,0.7577617356292932,738.0612411760285
134,202.89,75001000.0,1.7,17306,3.92e-11,0,1499900.0,-8.6865e-15,569.84,1,0.134,0.134,0.25,0,0.7577617356292932,738.0612411760285
135,202.89,75001000.0,1.7,17306,4.0307e-11,0,1499900.0,-8.0926e-15,569.84,1,0.135,0.135,0.25,0,0.7577617356292932,738.0612411760285
136,202.89,75001000.0,1.7,17306,4.1413e-11,0,1499900.0,-7.4987e-15,569.84,1,0.136,0.136,0.25,0,0.7577617356292932,738.0612411760285
137,202.89,75001000.0,1.7,17306,4.252e-11,0,1499900.0,-6.9048e-15,569.84,1,0.137,0.137,0.25,0,0.7577617356292932,738.0612411760285
138,202.89,75001000.0,1.7,17306,4.3627e-11,0,1499900.0,-6.3108e-15,569.84,1,0.138,0.138,0.25,0,0.7577617356292932,738.0612411760285
139,202.89,75001000.0,1.7,17306,4.4733e-11,0,1499900.0,-5.7169e-15,569.84,1,0.139,0.139,0.25,0,0.7577617356292932,738.0612411760285
140,202.89,75001000.0,1.7,17306,4.584e-11,0,1499900.0,-5.123e-15,569.84,1,0.14,0.14,0.25,0,0.7577617356292932,738.0612411760285
141,202.89,75001000.0,1.7,17306,4.6947e-11,0,1499900.0,-4.529e-15,569.84,1,0.141,0.141,0.25,0,0.7577617356292932,738.0612411760285
142,202.89,75001000.0,1.7,17306,4.8053e-11,0,1499900.0,-3.9351e-15,569.84,1,0.142,0.142,0.25,0,0.7577617356292932,738.0612411760285
143,202.89,75001000.0,1.7,17306,4.916e-11,0,1499900.0,-3.3412e-15,569.84,1,0.143,0.143,0.25,0,0.7577617356292932,738.0612411760285
144,202.89,75001000.0,1.7,17306,5.0266e-11,0,1499900.0,-2.7473e-15,569.84,1,0.144,0.144,0.25,0,0.7577617356292932,738.0612411760285
145,202.89,75001000.0,1.7,17306,5.1373e-11,0,1499900.0,-2.1533e-15,569.84,1,0.145,0.145,0.25,0,0.7577617356292932,738.0612411760285
146,202.89,75001000.0,1.7,17306,5.248e-11,0,1499900.0,-1.5594e-15,569.84,1,0.146,0.146,0.25,0,0.7577617356292932,738.0612411760285
147,202.89,75001000.0,1.7,17306,5.3586e-11,0,1499900.0,-9.6548e-16,569.84,1,0.147,0.147,0.25,0,0.7577617356292932,738.0612411760285
148,202.89,75001000.0,1.7,17306,5.4693e-11,0,1499900.0,-3.7155e-16,569.84,1,0.148,0.148,0.25,0,0.7577617356292932,738.0612411760285
149,202.89,75001000.0,1.7,17306,5.58e-11,0,1499900.0,2.2238e-16,569.84,1,0.149,0.149,0.25,0,0.7577617356292932,738.0612411760285
150,202.89,75001000.0,1.7,17306,6.4097e-11,0,1499900.0,9.1478e-16,569.84,1,0.15,0.15,0.25,0,0.7577617356292932,738.0612411760285
151,202.89,75001000.0,1.7,17306,7.4387e-11,0,1499900.0,1.6344e-15,569.84,1,0.151,0.151,0.25,0,0.7577617356292932,738.0612411760285
152,202.89,75001000.0,1.7,17306,6.624e-11,0,1499900.0,-1.3578e-15,569.84,1,0.152,0.152,0.25,0,0.7577617356292932,738.0612411760285
153,202.89,75001000.0,1.7,17306,5.6458e-11,0,1499900.0,-4.6793e-15,569.84,1,0.153,0.153,0.25,0,0.7577617356292932,738.0612411760285
154,202.89,75001000.0,1.7,17306,4.6676e-11,0,1499900.0,-8.0008e-15,569.84,1,0.154,0.154,0.25,0,0.7577617356292932,738.0612411760285
155,202.89,75001000.0,1.7,17306,3.6894e-11,0,1499900.0,-1.1322e-14,569.84,1,0.155,0.155,0.25,0,0.7577617356292932,738.0612411760285
156,202.89,75001000.0,1.7,17306,2.7112e-11,0,1499900.0,-1.4644e-14,569.84,1,0.156,0.156,0.25,0,0.7577617356292932,738.0612411760285
157,202.89,75001000.0,1.7,17306,1.7331e-11,0,1499900.0,-1.7965e-14,569.84,1,0.157,0.157,0.25,0,0.7577617356292932,738.0612411760285
158,202.89,75001000.0,1.7,17306,7.5488e-12,0,1499900.0,-2.1287e-14,569.84,1,0.158,0.158,0.25,0,0.7577617356292932,738.0612411760285
159,202.89,75001000.0,1.7,17306,-2.2329e-12,0,1499900.0,-2.4608e-14,569.84,1,0.159,0.159,0.25,0,0.7577617356292932,738.0612411760285
160,202.89,75001000.0,1.7,17306,-1.2015e-11,0,1499900.0,-2.793e-14,569.84,1,0.16,0.16,0.25,0,0.7577617356292932,738.0612411760285
161,202.89,75001000.0,1.7,17306,-2.1797e-11,0,1499900.0,-3.1251e-14,569.84,1,0.161,0.161,0.25,0,0.7577617356292932,738.0612411760285
162,202.89,75001000.0,1.7,17306,-3.1578e-11,0,1499900.0,-3.4573e-14,569.84,1,0.162,0.162,0.25,0,0.7577617356292932,738.0612411760285
163,202.89,75001000.0,1.7,17306,-4.136e-11,0,1499900.0,-3.7894e-14,569.84,1,0.163,0.163,0.25,0,0.7577617356292932,738.0612411760285
164,202.89,75001000.0,1.7,17306,-5.1142e-11,0,1499900.0,-4.1216e-14,569.84,1,0.164,0.164,0.25,0,0.7577617356292932,738.0612411760285
165,202.89,75001000.0,1.7,17306,-6.0924e-11,0,1499900.0,-4.4537e-14,569.84,1,0.165,0.165,0.25,0,0.7577617356292932,738.0612411760285
166,202.89,75001000.0,1.7,17306,-7.0706e-11,0,1499900.0,-4.7859e-14,569.84,1,0.166,0.166,0.25,0,0.7577617356292932,738.0612411760285
167,202.89,75001000.0,1.7,17306,-8.0487e-11,0,1499900.0,-5.118e-14,569.84,1,0.167,0.167,0.25,0,0.7577617356292932,738.0612411760285
