"<greek>m</greek>","<greek>m</greek><sub>t</sub>","C<sub>f</sub>_x","C<sub>f</sub>_y","C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Conservative_6","Mach","Pressure","Temperature","h","p","y<sup>+</sup>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.716e-05,1.0476e-09,0,0,-3.2497e+16,71.537,1117.6,0.038586,2.4144e+07,1.0001e-10,0.6839,0.17874,8.9513e+05,541.87,0,0.99018,0,1,0.0061469,0.0061469,0,0
1.716e-05,1.1251e-09,0,0,-3.2535e+16,71.536,1118.1,0.03802,2.4143e+07,1.0001e-10,0.71777,0.17881,8.9511e+05,541.87,0,0.99017,0,1,0.0062698,0.0062698,0,0
1.716e-05,1.2525e-09,0,0,-3.2576e+16,71.534,1118.6,0.041536,2.4143e+07,1.0002e-10,0.76363,0.1789,8.951e+05,541.87,0,0.99016,0,1,0.0063927,0.0063927,0,0
1.716e-05,1.3804e-09,0,0,-3.2616e+16,71.533,1119.1,0.045092,2.4142e+07,1.0002e-10,0.8096,0.17898,8.9509e+05,541.87,0,0.99015,0,1,0.0065157,0.0065157,0,0
1.716e-05,1.5084e-09,0,0,-3.2657e+16,71.531,1119.7,0.048647,2.4142e+07,1.0002e-10,0.85557,0.17907,8.9508e+05,541.87,0,0.99013,0,1,0.0066386,0.0066386,0,0
1.716e-05,1.6363e-09,0,0,-3.2698e+16,71.53,1120.2,0.052203,2.4141e+07,1.0002e-10,0.90154,0.17915,8.9507e+05,541.87,0,0.99012,0,1,0.0067615,0.0067615,0,0
1.716e-05,1.7642e-09,0,0,-3.2738e+16,71.529,1120.7,0.055759,2.4141e+07,1.0002e-10,0.94752,0.17924,8.9506e+05,541.87,0,0.99011,0,1,0.0068845,0.0068845,0,0
1.716e-05,1.9048e-09,0,0,-3.278e+16,71.527,1121.2,0.060355,2.414e+07,1.0002e-10,0.99646,0.17933,8.9505e+05,541.87,0,0.9901,0,1,0.0070074,0.0070074,0,0
1.716e-05,2.0719e-09,0,0,-3.2822e+16,71.526,1121.8,0.067137,2.414e+07,1.0002e-10,1.0516,0.17942,8.9504e+05,541.87,0,0.99008,0,1,0.0071303,0.0071303,0,0
1.716e-05,2.2391e-09,0,0,-3.2864e+16,71.524,1122.4,0.073918,2.4139e+07,1.0002e-10,1.1068,0.17951,8.9503e+05,541.87,0,0.99007,0,1,0.0072533,0.0072533,0,0
1.716e-05,2.4062e-09,0,0,-3.2906e+16,71.523,1123,0.0807,2.4139e+07,1.0003e-10,1.162,0.17961,8.9501e+05,541.87,0,0.99006,0,1,0.0073762,0.0073762,0,0
1.716e-05,2.5734e-09,0,0,-3.2948e+16,71.521,1123.5,0.087481,2.4138e+07,1.0003e-10,1.2172,0.1797,8.95e+05,541.87,0,0.99005,0,1,0.0074992,0.0074992,0,0
1.716e-05,2.7405e-09,0,0,-3.2991e+16,71.52,1124.1,0.094262,2.4138e+07,1.0003e-10,1.2724,0.17979,8.9499e+05,541.87,0,0.99003,0,1,0.0076221,0.0076221,0,0
1.716e-05,2.9634e-09,0,0,-3.3038e+16,71.518,1124.7,0.093363,2.4137e+07,1.0003e-10,1.3357,0.1799,8.9498e+05,541.87,0,0.99002,0,1,0.007745,0.007745,0,0
1.716e-05,3.2157e-09,0,0,-3.3087e+16,71.516,1125.4,0.088416,2.4137e+07,1.0003e-10,1.4032,0.18,8.9496e+05,541.87,0,0.99,0,1,0.007868,0.007868,0,0
1.716e-05,3.468e-09,0,0,-3.3136e+16,71.514,1126,0.08347,2.4136e+07,1.0003e-10,1.4708,0.18011,8.9495e+05,541.87,0,0.98999,0,1,0.0079909,0.0079909,0,0
1.716e-05,3.7203e-09,0,0,-3.3186e+16,71.513,1126.7,0.078523,2.4135e+07,1.0004e-10,1.5384,0.18021,8.9494e+05,541.87,0,0.98997,0,1,0.0081138,0.0081138,0,0
1.716e-05,3.9726e-09,0,0,-3.3235e+16,71.511,1127.3,0.073577,2.4135e+07,1.0004e-10,1.606,0.18032,8.9492e+05,541.87,0,0.98996,0,1,0.0082368,0.0082368,0,0
1.716e-05,4.2249e-09,0,0,-3.3285e+16,71.509,1128,0.068631,2.4134e+07,1.0004e-10,1.6736,0.18042,8.9491e+05,541.87,0,0.98994,0,1,0.0083597,0.0083597,0,0
1.716e-05,4.0752e-09,0,0,-3.3337e+16,71.507,1128.7,0.072963,2.4133e+07,1.0004e-10,1.7548,0.18054,8.949e+05,541.87,0,0.98993,0,1,0.0084827,0.0084827,0,0
1.716e-05,3.9203e-09,0,0,-3.339e+16,71.505,1129.4,0.077415,2.4133e+07,1.0004e-10,1.8362,0.18065,8.9488e+05,541.87,0,0.98991,0,1,0.0086056,0.0086056,0,0
1.716e-05,3.7653e-09,0,0,-3.3442e+16,71.503,1130.1,0.081867,2.4132e+07,1.0005e-10,1.9175,0.18077,8.9487e+05,541.87,0,0.9899,0,1,0.0087285,0.0087285,0,0
1.716e-05,3.6104e-09,0,0,-3.3495e+16,71.502,1130.8,0.08632,2.4132e+07,1.0005e-10,1.9989,0.18088,8.9485e+05,541.87,0,0.98988,0,1,0.0088515,0.0088515,0,0
1.716e-05,3.4555e-09,0,0,-3.3548e+16,71.5,1131.5,0.090772,2.4131e+07,1.0005e-10,2.0803,0.181,8.9484e+05,541.87,0,0.98987,0,1,0.0089744,0.0089744,0,0
1.716e-05,3.3129e-09,0,0,-3.3601e+16,71.498,1132.2,0.09336,2.413e+07,1.0005e-10,2.1652,0.18111,8.9482e+05,541.86,0,0.98985,0,1,0.0090973,0.0090973,0,0
1.716e-05,3.1964e-09,0,0,-3.3656e+16,71.496,1132.9,0.091977,2.413e+07,1.0006e-10,2.2576,0.18124,8.9481e+05,541.86,0,0.98983,0,1,0.0092203,0.0092203,0,0
1.716e-05,3.08e-09,0,0,-3.3711e+16,71.494,1133.7,0.090594,2.4129e+07,1.0006e-10,2.35,0.18136,8.9479e+05,541.86,0,0.98982,0,1,0.0093432,0.0093432,0,0
1.716e-05,2.9636e-09,0,0,-3.3767e+16,71.492,1134.4,0.08921,2.4128e+07,1.0006e-10,2.4424,0.18148,8.9478e+05,541.86,0,0.9898,0,1,0.0094661,0.0094661,0,0
1.716e-05,2.8472e-09,0,0,-3.3822e+16,71.49,1135.2,0.087827,2.4128e+07,1.0007e-10,2.5348,0.1816,8.9476e+05,541.86,0,0.98978,0,1,0.0095891,0.0095891,0,0
1.716e-05,2.7308e-09,0,0,-3.3877e+16,71.488,1135.9,0.086444,2.4127e+07,1.0007e-10,2.6272,0.18172,8.9475e+05,541.86,0,0.98977,0,1,0.009712,0.009712,0,0
1.716e-05,2.6324e-09,0,0,-3.3934e+16,71.486,1136.7,0.086276,2.4126e+07,1.0007e-10,2.7299,0.18185,8.9473e+05,541.86,0,0.98975,0,1,0.009835,0.009835,0,0
1.716e-05,2.5435e-09,0,0,-3.3994e+16,71.484,1137.5,0.086758,2.4125e+07,1.0008e-10,2.838,0.18198,8.9472e+05,541.86,0,0.98973,0,1,0.0099579,0.0099579,0,0
1.716e-05,2.4547e-09,0,0,-3.4053e+16,71.482,1138.3,0.087239,2.4125e+07,1.0008e-10,2.9461,0.18211,8.947e+05,541.86,0,0.98971,0,1,0.010081,0.010081,0,0
1.716e-05,2.3658e-09,0,0,-3.4112e+16,71.48,1139.1,0.087721,2.4124e+07,1.0009e-10,3.0541,0.18225,8.9468e+05,541.86,0,0.98969,0,1,0.010204,0.010204,0,0
1.716e-05,2.277e-09,0,0,-3.4171e+16,71.477,1139.9,0.088203,2.4123e+07,1.0009e-10,3.1622,0.18238,8.9467e+05,541.86,0,0.98968,0,1,0.010327,0.010327,0,0
1.716e-05,2.1881e-09,0,0,-3.423e+16,71.475,1140.7,0.088685,2.4122e+07,1.0009e-10,3.2703,0.18251,8.9465e+05,541.86,0,0.98966,0,1,0.01045,0.01045,0,0
1.716e-05,2.1204e-09,0,0,-3.4292e+16,71.473,1141.6,0.085158,2.4122e+07,1.001e-10,3.3924,0.18265,8.9463e+05,541.86,0,0.98964,0,1,0.010573,0.010573,0,0
1.716e-05,2.0529e-09,0,0,-3.4355e+16,71.471,1142.5,0.081566,2.4121e+07,1.001e-10,3.5147,0.18279,8.9462e+05,541.86,0,0.98962,0,1,0.010696,0.010696,0,0
1.716e-05,1.9855e-09,0,0,-3.4417e+16,71.469,1143.3,0.077974,2.412e+07,1.0011e-10,3.637,0.18293,8.946e+05,541.86,0,0.9896,0,1,0.010818,0.010818,0,0
1.716e-05,1.9181e-09,0,0,-3.448e+16,71.466,1144.2,0.074382,2.4119e+07,1.0011e-10,3.7593,0.18307,8.9458e+05,541.86,0,0.98958,0,1,0.010941,0.010941,0,0
