,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
528,202.78,316100000.0,1.7002,16303,-4.3869,0,1499700.0,-0.00037664,569.36,1,0.528,0.528,0.4,0,1.3688522573184305
529,202.67,315930000.0,1.7005,16298,-8.2829,0,1499400.0,-0.00073438,569.35,1,0.529,0.529,0.4,0,1.3645795020901395
530,202.57,315770000.0,1.7008,16292,-12.179,0,1499200.0,-0.0010921,569.34,1,0.53,0.53,0.4,0,1.3636595000948208
531,202.46,315600000.0,1.7011,16287,-16.075,0,1498900.0,-0.0014499,569.33,1,0.531,0.531,0.4,0,1.3593796440250372
532,202.36,315440000.0,1.7014,16281,-19.971,0,1498700.0,-0.0018076,569.32,1,0.532,0.532,0.4,0,1.358450212790621
533,202.25,315280000.0,1.7017,16276,-23.867,0,1498500.0,-0.0021654,569.31,1,0.533,0.533,0.4,0,1.357517929727274
534,202.15,315110000.0,1.702,16271,-27.763,0,1498200.0,-0.0025231,569.31,1,0.534,0.534,0.4,0,1.347485104775041
535,202.04,314950000.0,1.7023,16265,-31.66,0,1498000.0,-0.0028809,569.3,1,0.535,0.535,0.4,0,1.3465391213867912
536,201.94,314780000.0,1.7026,16260,-35.556,0,1497800.0,-0.0032386,569.29,1,0.536,0.536,0.4,0,1.3455902963020239
537,201.83,314620000.0,1.7029,16254,-39.452,0,1497500.0,-0.0035963,569.28,1,0.537,0.537,0.4,0,1.3413040608003675
538,201.73,314460000.0,1.7031,16249,-43.348,0,1497300.0,-0.0039541,569.27,1,0.538,0.538,0.4,0,1.34034604699376
539,201.62,314290000.0,1.7034,16243,-47.244,0,1497100.0,-0.0043118,569.26,1,0.539,0.539,0.4,0,1.3393851828885714
540,201.51,314120000.0,1.7037,16238,-51.303,0,1496800.0,-0.0046829,569.25,1,0.54,0.54,0.4,0,1.3350868941349268
541,201.4,313940000.0,1.704,16232,-55.631,0,1496600.0,-0.0050763,569.25,1,0.541,0.541,0.4,0,1.3284490896734684
542,201.28,313760000.0,1.7044,16226,-59.96,0,1496300.0,-0.0054697,569.24,1,0.542,0.542,0.4,0,1.3241659434328832
543,201.17,313580000.0,1.7047,16220,-64.289,0,1496100.0,-0.005863,569.23,1,0.543,0.543,0.4,0,1.3231831901915752
544,201.05,313400000.0,1.705,16214,-68.618,0,1495800.0,-0.0062564,569.22,1,0.544,0.544,0.4,0,1.3188952393240128
545,200.94,313220000.0,1.7053,16208,-72.947,0,1495500.0,-0.0066498,569.21,1,0.545,0.545,0.4,0,1.3146087524365442
546,200.82,313030000.0,1.7056,16202,-77.553,0,1495300.0,-0.0070684,569.2,1,0.546,0.546,0.4,0,1.3136111888689403
547,200.62,312730000.0,1.706,16192,-84.812,0,1494800.0,-0.0077275,569.18,1,0.547,0.547,0.4,0,1.3083141799116362
548,200.43,312430000.0,1.7064,16181,-92.07,0,1494400.0,-0.0083865,569.17,1,0.548,0.548,0.4,0,1.3007448277034548
549,200.24,312130000.0,1.7069,16172,-99.071,0,1494000.0,-0.0090271,569.15,1,0.549,0.549,0.4,0,1.2987063345647178
550,200.06,311850000.0,1.7073,16162,-105.79,0,1493600.0,-0.0096476,569.14,1,0.55,0.55,0.4,0,1.2911490348548404
551,199.88,311560000.0,1.7077,16153,-112.51,0,1493200.0,-0.010268,569.12,1,0.551,0.551,0.4,0,1.2890823732416448
552,199.7,311280000.0,1.7081,16143,-119.32,0,1492800.0,-0.010896,569.11,1,0.552,0.552,0.4,0,1.281538803575199
553,199.51,310980000.0,1.7085,16133,-126.38,0,1492300.0,-0.011546,569.09,1,0.553,0.553,0.4,0,1.2762030924164625
554,199.32,310680000.0,1.7089,16123,-133.44,0,1491900.0,-0.012196,569.08,1,0.554,0.554,0.4,0,1.2686949026947971
555,199.12,310380000.0,1.7093,16113,-140.49,0,1491500.0,-0.012845,569.06,1,0.555,0.555,0.4,0,1.2665688417673366
556,198.9,310030000.0,1.7097,16101,-148.93,0,1491000.0,-0.013621,569.04,1,0.556,0.556,0.4,0,1.2612118678507769
557,198.65,309640000.0,1.7102,16088,-158.2,0,1490400.0,-0.014472,569.02,1,0.557,0.557,0.4,0,1.2526444038943196
558,198.4,309250000.0,1.7106,16074,-167.48,0,1489900.0,-0.015323,569.0,1,0.558,0.558,0.4,0,1.2472770449230497
559,198.15,308860000.0,1.711,16061,-176.75,0,1489300.0,-0.016174,568.98,1,0.559,0.559,0.4,0,1.2387264641709346
560,197.9,308480000.0,1.7114,16048,-186.02,0,1488700.0,-0.017026,568.96,1,0.56,0.56,0.4,0,1.2301955147845203
561,197.66,308090000.0,1.7118,16035,-195.3,0,1488200.0,-0.017877,568.94,1,0.561,0.561,0.4,0,1.2248216691681113
562,197.43,307730000.0,1.7122,16023,-203.9,0,1487700.0,-0.018663,568.92,1,0.562,0.562,0.4,0,1.219441685319036
563,197.23,307420000.0,1.7126,16012,-211.31,0,1487200.0,-0.019334,568.91,1,0.563,0.563,0.4,0,1.2089626098192208
564,197.03,307110000.0,1.713,16002,-218.72,0,1486800.0,-0.020005,568.89,1,0.564,0.564,0.4,0,1.206693038066884
565,196.78,306720000.0,1.7134,15988,-228.1,0,1486200.0,-0.020864,568.87,1,0.565,0.565,0.4,0,1.1982246184336787
566,196.5,306280000.0,1.7137,15973,-238.75,0,1485600.0,-0.021843,568.85,1,0.566,0.566,0.4,0,1.1897821897504184
567,196.21,305830000.0,1.7141,15958,-249.39,0,1484900.0,-0.022821,568.83,1,0.567,0.567,0.4,0,1.178333304000045
568,195.93,305390000.0,1.7144,15943,-260.04,0,1484300.0,-0.0238,568.8,1,0.568,0.568,0.4,0,1.174835771165659
569,195.65,304940000.0,1.7147,15927,-270.69,0,1483700.0,-0.024778,568.78,1,0.569,0.569,0.4,0,1.1664494701002581
570,195.37,304510000.0,1.7151,15912,-281.11,0,1483000.0,-0.025736,568.76,1,0.57,0.57,0.4,0,1.1551133247207814
571,195.1,304090000.0,1.7154,15898,-291.14,0,1482400.0,-0.026655,568.73,1,0.571,0.571,0.4,0,1.151550279004535
572,194.83,303670000.0,1.7158,15884,-301.18,0,1481800.0,-0.027575,568.71,1,0.572,0.572,0.4,0,1.143230521261456
573,194.54,303210000.0,1.716,15868,-312.1,0,1481200.0,-0.028579,568.69,1,0.573,0.573,0.4,0,1.1349448679473317
574,194.22,302710000.0,1.7163,15850,-324.18,0,1480400.0,-0.029693,568.66,1,0.574,0.574,0.4,0,1.1254844583389854
575,193.91,302230000.0,1.7165,15834,-335.67,0,1479700.0,-0.030753,568.64,1,0.575,0.575,0.4,0,1.114386735924727
576,193.6,301750000.0,1.7167,15817,-347.16,0,1479000.0,-0.031813,568.61,1,0.576,0.576,0.4,0,1.107860623277459
577,193.3,301270000.0,1.7169,15800,-358.64,0,1478400.0,-0.032873,568.59,1,0.577,0.577,0.4,0,1.0997123720997848
578,192.99,300780000.0,1.7171,15783,-370.27,0,1477600.0,-0.033948,568.56,1,0.578,0.578,0.4,0,1.090370681454448
579,192.63,300220000.0,1.7172,15763,-383.65,0,1476800.0,-0.035198,568.53,1,0.579,0.579,0.4,0,1.081059665417983
580,192.27,299660000.0,1.7173,15744,-397.03,0,1476000.0,-0.036448,568.5,1,0.58,0.58,0.4,0,1.0717812128222215
581,191.91,299100000.0,1.7174,15724,-410.41,0,1475200.0,-0.037699,568.47,1,0.581,0.581,0.4,0,1.0625371723429364
582,191.55,298540000.0,1.7174,15704,-423.79,0,1474400.0,-0.038949,568.44,1,0.582,0.582,0.4,0,1.053329351041668
583,191.22,298020000.0,1.7176,15686,-436.16,0,1473600.0,-0.040099,568.42,1,0.583,0.583,0.4,0,1.0400700390961128
584,190.88,297480000.0,1.7177,15667,-448.85,0,1472800.0,-0.041283,568.39,1,0.584,0.584,0.4,0,1.0309959882058832
585,190.47,296850000.0,1.7176,15645,-463.72,0,1471900.0,-0.04269,568.35,1,0.585,0.585,0.4,0,1.0233136639296792
586,190.07,296220000.0,1.7175,15623,-478.59,0,1471000.0,-0.044098,568.32,1,0.586,0.586,0.4,0,1.0117062375668475
587,189.68,295620000.0,1.7175,15601,-492.86,0,1470100.0,-0.045448,568.29,1,0.587,0.587,0.4,0,1.0002091105516648
588,189.3,295020000.0,1.7175,15580,-507.04,0,1469200.0,-0.046789,568.26,1,0.588,0.588,0.4,0,0.9888241423177812
589,188.86,294330000.0,1.7173,15556,-523.23,0,1468200.0,-0.048338,568.22,1,0.589,0.589,0.4,0,0.9787519141731509
590,188.42,293640000.0,1.717,15531,-539.57,0,1467200.0,-0.049903,568.18,1,0.59,0.59,0.4,0,0.968725411334353
591,187.96,292920000.0,1.7168,15506,-556.3,0,1466100.0,-0.051509,568.15,1,0.591,0.591,0.4,0,0.9528149646215301
592,187.44,292110000.0,1.7164,15477,-575.31,0,1464900.0,-0.053349,568.1,1,0.592,0.592,0.4,0,0.9417013674910633
593,186.97,291380000.0,1.7161,15451,-592.64,0,1463800.0,-0.055006,568.06,1,0.593,0.593,0.4,0,0.9295944151463901
594,186.47,290590000.0,1.7157,15423,-611.21,0,1462700.0,-0.056793,568.02,1,0.594,0.594,0.4,0,0.9176136736296294
595,185.9,289700000.0,1.7151,15391,-632.07,0,1461300.0,-0.058816,567.97,1,0.595,0.595,0.4,0,0.902263252510391
596,185.34,288830000.0,1.7145,15360,-652.57,0,1460000.0,-0.060801,567.93,1,0.596,0.596,0.4,0,0.8862444135253211
597,184.78,287950000.0,1.7139,15328,-673.3,0,1458700.0,-0.062816,567.88,1,0.597,0.597,0.4,0,0.8735202145136187
598,184.1,286890000.0,1.7128,15291,-697.86,0,1457100.0,-0.065243,567.82,1,0.598,0.598,0.4,0,0.8576136643586177
599,183.45,285860000.0,1.7119,15254,-721.9,0,1455600.0,-0.067612,567.77,1,0.599,0.599,0.4,0,0.8412020466337702
600,182.82,284880000.0,1.711,15218,-744.91,0,1454100.0,-0.069874,567.71,1,0.6,0.6,0.4,0,0.827805088479403
601,182.07,283720000.0,1.7097,15176,-771.76,0,1452300.0,-0.072581,567.65,1,0.601,0.601,0.4,0,0.8088745156345606
602,181.35,282590000.0,1.7084,15136,-797.82,0,1450600.0,-0.0752,567.59,1,0.602,0.602,0.4,0,0.7922749644889768
603,180.55,281340000.0,1.7069,15091,-826.56,0,1448700.0,-0.078134,567.52,1,0.603,0.603,0.4,0,0.7748512894208743
604,179.73,280050000.0,1.7052,15045,-856.04,0,1446700.0,-0.081164,567.45,1,0.604,0.604,0.4,0,0.7561403107592556
605,178.88,278720000.0,1.7033,14997,-886.55,0,1444600.0,-0.084313,567.38,1,0.605,0.605,0.4,0,0.7363511591269496
606,177.99,277340000.0,1.7012,14947,-918.29,0,1442500.0,-0.087603,567.3,1,0.606,0.606,0.4,0,0.7191751120010158
607,177.1,275940000.0,1.6989,14896,-950.39,0,1440300.0,-0.090949,567.23,1,0.607,0.607,0.4,0,0.6991284247153833
608,176.2,274530000.0,1.6965,14845,-982.76,0,1438100.0,-0.094346,567.15,1,0.608,0.608,0.4,0,0.6815770060029275
609,175.27,273080000.0,1.6939,14792,-1015.7,0,1435800.0,-0.097858,567.07,1,0.609,0.609,0.4,0,0.6632413520678524
610,174.35,271640000.0,1.6912,14740,-1048.6,0,1433400.0,-0.10139,566.99,1,0.61,0.61,0.4,0,0.6443192774828312
611,173.42,270190000.0,1.6884,14687,-1081.5,0,1431100.0,-0.10493,566.91,1,0.611,0.611,0.4,0,0.6273851486031398
612,172.49,268740000.0,1.6853,14633,-1114.9,0,1428700.0,-0.10855,566.83,1,0.612,0.612,0.4,0,0.6099661409783085
613,171.56,267270000.0,1.6821,14579,-1148.5,0,1426400.0,-0.1122,566.75,1,0.613,0.613,0.4,0,0.5943624972254264
614,170.62,265800000.0,1.6789,14525,-1182.2,0,1423900.0,-0.11588,566.66,1,0.614,0.614,0.4,0,0.5784131109874817
615,169.66,264300000.0,1.6754,14469,-1216.7,0,1421400.0,-0.1197,566.58,1,0.615,0.615,0.4,0,0.562143315676831
616,168.69,262790000.0,1.6718,14413,-1251.6,0,1418900.0,-0.12358,566.5,1,0.616,0.616,0.4,0,0.5466760549542999
617,167.7,261240000.0,1.668,14355,-1287.1,0,1416300.0,-0.12755,566.41,1,0.617,0.617,0.4,0,0.5319352226277658
