"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9469,1.6473e+05,1,4.4611,4.4611,0,0
1.947,1.6472e+05,1,4.4673,4.4673,0,0
1.947,1.6471e+05,1,4.4735,4.4735,0,0
1.947,1.647e+05,1,4.4796,4.4796,0,0
1.947,1.6469e+05,1,4.4858,4.4858,0,0
1.947,1.6468e+05,1,4.492,4.492,0,0
1.9471,1.6467e+05,1,4.4981,4.4981,0,0
1.9471,1.6466e+05,1,4.5043,4.5043,0,0
1.9471,1.6465e+05,1,4.5104,4.5104,0,0
1.9471,1.6464e+05,1,4.5166,4.5166,0,0
1.9472,1.6463e+05,1,4.5228,4.5228,0,0
1.9472,1.6463e+05,1,4.5289,4.5289,0,0
1.9472,1.6462e+05,1,4.5351,4.5351,0,0
1.9472,1.6462e+05,1,4.5412,4.5412,0,0
1.9472,1.6461e+05,1,4.5474,4.5474,0,0
1.9472,1.646e+05,1,4.5536,4.5536,0,0
1.9472,1.646e+05,1,4.5597,4.5597,0,0
1.9472,1.6459e+05,1,4.5659,4.5659,0,0
1.9472,1.6459e+05,1,4.5721,4.5721,0,0
1.9472,1.6459e+05,1,4.5782,4.5782,0,0
1.9472,1.6458e+05,1,4.5844,4.5844,0,0
1.9472,1.6458e+05,1,4.5905,4.5905,0,0
1.9472,1.6458e+05,1,4.5967,4.5967,0,0
1.9473,1.6457e+05,1,4.6029,4.6029,0,0
1.9473,1.6457e+05,1,4.609,4.609,0,0
1.9473,1.6457e+05,1,4.6152,4.6152,0,0
1.9473,1.6456e+05,1,4.6213,4.6213,0,0
1.9473,1.6456e+05,1,4.6275,4.6275,0,0
1.9473,1.6456e+05,1,4.6337,4.6337,0,0
1.9473,1.6456e+05,1,4.6398,4.6398,0,0
1.9473,1.6456e+05,1,4.646,4.646,0,0
1.9473,1.6456e+05,1,4.6522,4.6522,0,0
1.9473,1.6455e+05,1,4.6583,4.6583,0,0
1.9473,1.6455e+05,1,4.6645,4.6645,0,0
1.9473,1.6455e+05,1,4.6706,4.6706,0,0
1.9473,1.6455e+05,1,4.6768,4.6768,0,0
1.9473,1.6455e+05,1,4.683,4.683,0,0
1.9473,1.6455e+05,1,4.6891,4.6891,0,0
1.9473,1.6455e+05,1,4.6953,4.6953,0,0
1.9473,1.6455e+05,1,4.7015,4.7015,0,0
1.9473,1.6455e+05,1,4.7076,4.7076,0,0
1.9473,1.6454e+05,1,4.7138,4.7138,0,0
1.9473,1.6454e+05,1,4.7199,4.7199,0,0
1.9473,1.6454e+05,1,4.7261,4.7261,0,0
1.9473,1.6454e+05,1,4.7323,4.7323,0,0
1.9473,1.6454e+05,1,4.7384,4.7384,0,0
1.9473,1.6454e+05,1,4.7446,4.7446,0,0
1.9473,1.6454e+05,1,4.7507,4.7507,0,0
1.9473,1.6454e+05,1,4.7569,4.7569,0,0
1.9473,1.6454e+05,1,4.7631,4.7631,0,0
1.9473,1.6454e+05,1,4.7692,4.7692,0,0
1.9473,1.6453e+05,1,4.7754,4.7754,0,0
1.9473,1.6453e+05,1,4.7816,4.7816,0,0
1.9473,1.6453e+05,1,4.7877,4.7877,0,0
1.9473,1.6453e+05,1,4.7939,4.7939,0,0
1.9473,1.6453e+05,1,4.8,4.8,0,0
1.9473,1.6453e+05,1,4.8062,4.8062,0,0
1.9473,1.6452e+05,1,4.8124,4.8124,0,0
1.9474,1.6452e+05,1,4.8185,4.8185,0,0
1.9474,1.6452e+05,1,4.8247,4.8247,0,0
1.9474,1.6452e+05,1,4.8309,4.8309,0,0
1.9474,1.6452e+05,1,4.837,4.837,0,0
1.9474,1.6451e+05,1,4.8432,4.8432,0,0
1.9474,1.6451e+05,1,4.8493,4.8493,0,0
1.9474,1.6451e+05,1,4.8555,4.8555,0,0
1.9474,1.6451e+05,1,4.8617,4.8617,0,0
1.9474,1.645e+05,1,4.8678,4.8678,0,0
1.9474,1.645e+05,1,4.874,4.874,0,0
1.9474,1.6449e+05,1,4.8801,4.8801,0,0
1.9474,1.6449e+05,1,4.8863,4.8863,0,0
1.9475,1.6449e+05,1,4.8925,4.8925,0,0
1.9475,1.6448e+05,1,4.8986,4.8986,0,0
1.9475,1.6448e+05,1,4.9048,4.9048,0,0
1.9475,1.6447e+05,1,4.911,4.911,0,0
1.9475,1.6447e+05,1,4.9171,4.9171,0,0
1.9475,1.6446e+05,1,4.9233,4.9233,0,0
1.9475,1.6446e+05,1,4.9294,4.9294,0,0
1.9475,1.6445e+05,1,4.9356,4.9356,0,0
1.9476,1.6445e+05,1,4.9418,4.9418,0,0
1.9476,1.6444e+05,1,4.9479,4.9479,0,0
1.9476,1.6444e+05,1,4.9541,4.9541,0,0
1.9476,1.6443e+05,1,4.9602,4.9602,0,0
1.9476,1.6443e+05,1,4.9664,4.9664,0,0
1.9477,1.6442e+05,1,4.9726,4.9726,0,0
1.9477,1.6441e+05,1,4.9787,4.9787,0,0
1.9477,1.644e+05,1,4.9849,4.9849,0,0
1.9477,1.644e+05,1,4.9911,4.9911,0,0
1.9478,1.6439e+05,1,4.9972,4.9972,0,0
1.9478,1.6438e+05,1,5.0034,5.0034,0,0
1.9478,1.6437e+05,1,5.0095,5.0095,0,0
1.9478,1.6437e+05,1,5.0157,5.0157,0,0
1.9478,1.6436e+05,1,5.0219,5.0219,0,0
1.9479,1.6435e+05,1,5.028,5.028,0,0
1.9479,1.6434e+05,1,5.0342,5.0342,0,0
1.9479,1.6433e+05,1,5.0404,5.0404,0,0
1.948,1.6432e+05,1,5.0465,5.0465,0,0
1.948,1.6431e+05,1,5.0527,5.0527,0,0
1.948,1.643e+05,1,5.0588,5.0588,0,0
1.9481,1.643e+05,1,5.065,5.065,0,0
1.9481,1.6429e+05,1,5.0712,5.0712,0,0
1.9481,1.6428e+05,1,5.0773,5.0773,0,0
1.9482,1.6426e+05,1,5.0835,5.0835,0,0
1.9482,1.6425e+05,1,5.0896,5.0896,0,0
1.9482,1.6424e+05,1,5.0958,5.0958,0,0
1.9483,1.6423e+05,1,5.102,5.102,0,0
1.9483,1.6422e+05,1,5.1081,5.1081,0,0
1.9483,1.6421e+05,1,5.1143,5.1143,0,0
1.9484,1.642e+05,1,5.1205,5.1205,0,0
1.9484,1.6419e+05,1,5.1266,5.1266,0,0
1.9484,1.6418e+05,1,5.1328,5.1328,0,0
1.9485,1.6417e+05,1,5.1389,5.1389,0,0
1.9485,1.6415e+05,1,5.1451,5.1451,0,0
1.9486,1.6414e+05,1,5.1513,5.1513,0,0
1.9486,1.6413e+05,1,5.1574,5.1574,0,0
1.9486,1.6412e+05,1,5.1636,5.1636,0,0
1.9487,1.6411e+05,1,5.1698,5.1698,0,0
1.9487,1.641e+05,1,5.1759,5.1759,0,0
1.9488,1.6408e+05,1,5.1821,5.1821,0,0
1.9488,1.6407e+05,1,5.1882,5.1882,0,0
1.9488,1.6406e+05,1,5.1944,5.1944,0,0
1.9489,1.6405e+05,1,5.2006,5.2006,0,0
1.9489,1.6403e+05,1,5.2067,5.2067,0,0
1.949,1.6402e+05,1,5.2129,5.2129,0,0
1.949,1.6401e+05,1,5.219,5.219,0,0
1.9491,1.64e+05,1,5.2252,5.2252,0,0
1.9491,1.6398e+05,1,5.2314,5.2314,0,0
1.9492,1.6397e+05,1,5.2375,5.2375,0,0
1.9492,1.6396e+05,1,5.2437,5.2437,0,0
1.9492,1.6394e+05,1,5.2499,5.2499,0,0
1.9493,1.6393e+05,1,5.256,5.256,0,0
1.9493,1.6392e+05,1,5.2622,5.2622,0,0
1.9494,1.6391e+05,1,5.2683,5.2683,0,0
1.9494,1.6389e+05,1,5.2745,5.2745,0,0
1.9495,1.6388e+05,1,5.2807,5.2807,0,0
1.9495,1.6387e+05,1,5.2868,5.2868,0,0
1.9495,1.6386e+05,1,5.293,5.293,0,0
1.9496,1.6384e+05,1,5.2991,5.2991,0,0
1.9496,1.6383e+05,1,5.3053,5.3053,0,0
1.9497,1.6382e+05,1,5.3115,5.3115,0,0
1.9497,1.6381e+05,1,5.3176,5.3176,0,0
1.9498,1.6379e+05,1,5.3238,5.3238,0,0
1.9498,1.6378e+05,1,5.33,5.33,0,0
1.9499,1.6377e+05,1,5.3361,5.3361,0,0
1.9499,1.6376e+05,1,5.3423,5.3423,0,0
1.9499,1.6374e+05,1,5.3484,5.3484,0,0
1.95,1.6373e+05,1,5.3546,5.3546,0,0
1.95,1.6372e+05,1,5.3608,5.3608,0,0
1.9501,1.637e+05,1,5.3669,5.3669,0,0
1.9501,1.6369e+05,1,5.3731,5.3731,0,0
1.9502,1.6368e+05,1,5.3793,5.3793,0,0
1.9502,1.6367e+05,1,5.3854,5.3854,0,0
1.9502,1.6366e+05,1,5.3916,5.3916,0,0
1.9503,1.6365e+05,1,5.3977,5.3977,0,0
1.9503,1.6364e+05,1,5.4039,5.4039,0,0
1.9504,1.6362e+05,1,5.4101,5.4101,0,0
1.9504,1.6361e+05,1,5.4162,5.4162,0,0
1.9504,1.636e+05,1,5.4224,5.4224,0,0
1.9505,1.6359e+05,1,5.4285,5.4285,0,0
1.9505,1.6358e+05,1,5.4347,5.4347,0,0
1.9505,1.6357e+05,1,5.4409,5.4409,0,0
1.9506,1.6356e+05,1,5.447,5.447,0,0
1.9506,1.6355e+05,1,5.4532,5.4532,0,0
1.9507,1.6354e+05,1,5.4594,5.4594,0,0
1.9507,1.6353e+05,1,5.4655,5.4655,0,0
1.9507,1.6352e+05,1,5.4717,5.4717,0,0
1.9508,1.6351e+05,1,5.4778,5.4778,0,0
1.9508,1.635e+05,1,5.484,5.484,0,0
1.9508,1.6349e+05,1,5.4902,5.4902,0,0
1.9509,1.6348e+05,1,5.4963,5.4963,0,0
1.9509,1.6347e+05,1,5.5025,5.5025,0,0
1.9509,1.6346e+05,1,5.5086,5.5086,0,0
1.951,1.6345e+05,1,5.5148,5.5148,0,0
