"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
1818, 4.600015255932045e-01, 9.307428314783550e-01, 2.094599721909594e+02, 1.468352756116135e+04, -6.153870366763347e-01, 1.172915284533499e+08, 8.202049588752612e+05, 6.524266568466056e+02, -1.322023974603912e-04, 1.700425679775497e+00
1819, 3.705516481545712e-01, 2.538463887815206e-01, 1.817319290541703e+02, 1.336507450466870e+04, -7.479263132519479e+02, 1.017109016241744e+08, 7.769096701483240e+05, 6.477723678168239e+02, -8.425398889669203e-02, 1.901190850984022e+00
1820, 4.400022188351151e-01, 9.307416269153316e-01, 2.094703455758557e+02, 1.468390855709675e+04, -4.509810793271899e-01, 1.172973535976097e+08, 8.202225899197543e+05, 6.524283513160012e+02, -9.794566874430349e-05, 1.700316181125772e+00
1821, 3.496169269857866e-01, 2.572325431023419e-01, 1.894380118152934e+02, 1.380441527060590e+04, -5.158967821218909e+02, 1.060447887447883e+08, 7.884441549246914e+05, 6.490967114251520e+02, -6.184274060000331e-02, 1.869227180486905e+00
1822, 6.923873230625746e-02, 5.599918839622335e-01, 2.094990591141390e+02, 1.468494224492780e+04, -1.200018666140004e-02, 1.173134761484771e+08, 8.202714003850208e+05, 6.524330414193892e+02, -3.108016454463316e-06, 1.700010626348334e+00
1823, 3.282570991936599e-01, 2.602506871719806e-01, 1.963040637166578e+02, 1.416200677343188e+04, -3.110371164365021e+02, 1.099045476779986e+08, 7.989376819107649e+05, 6.502549710589935e+02, -4.145405022046133e-02, 1.825413688304901e+00
1824, 6.923367598411227e-02, 5.399949802032187e-01, 2.094988635894200e+02, 1.468493644413561e+04, -1.410889706921658e-02, 1.173133664487582e+08, 8.202710679719802e+05, 6.524330094830890e+02, -3.753887625447228e-06, 1.700012850555942e+00
1825, 3.066105457151375e-01, 2.628217404549874e-01, 2.015625762317275e+02, 1.440383672686568e+04, -1.619433612463232e+02, 1.128589298402380e+08, 8.072114933917946e+05, 6.511296097893298e+02, -2.537821787454986e-02, 1.782115162267729e+00
1826, 6.923056188085522e-02, 5.199989267333018e-01, 2.094986336479644e+02, 1.468492966757324e+04, -1.644511158522341e-02, 1.173132374426056e+08, 8.202706770475204e+05, 6.524329719252727e+02, -4.513445187266489e-06, 1.700015471514877e+00
1827, 2.848883486165460e-01, 2.648968244685295e-01, 2.050343810963070e+02, 1.454189335528378e+04, -7.436404085142007e+01, 1.148083343156489e+08, 8.128263976408644e+05, 6.517018745480802e+02, -1.446858335443178e-02, 1.748775934954393e+00
1828, 6.922982653712359e-02, 5.000031319454020e-01, 2.094983656710050e+02, 1.468492182639558e+04, -1.897658837838905e-02, 1.173130871009982e+08, 8.202702214597296e+05, 6.524329281548578e+02, -5.398642168216705e-06, 1.700018532532569e+00
1829, 6.923143163168713e-02, 4.800068380089416e-01, 2.094980567604626e+02, 1.468491285430970e+04, -2.164354537007720e-02, 1.173129137993418e+08, 8.202696962820715e+05, 6.524328776984762e+02, -6.419050719016686e-06, 1.700022068853241e+00
1830, 2.633104111718191e-01, 2.664780826995164e-01, 2.070768815561999e+02, 1.461249836588854e+04, -3.169861534044641e+01, 1.159546320982370e+08, 8.161978059572726e+05, 6.520369112964286e+02, -7.918011711790742e-03, 1.727282966996327e+00
1831, 6.923442642259826e-02, 4.600094818037251e-01, 2.094977053133622e+02, 1.468490272033190e+04, -2.435610235027529e-02, 1.173127166394461e+08, 8.202690987899089e+05, 6.524328202942946e+02, -7.579964749513874e-06, 1.700026100627730e+00
1832, 2.420365362517478e-01, 2.676108139349065e-01, 2.082020375781528e+02, 1.464753820578218e+04, -1.327169988562146e+01, 1.165859031464389e+08, 8.180792679980947e+05, 6.522210548508382e+02, -4.262372662871179e-03, 1.714831384210403e+00
1833, 6.923698546113637e-02, 4.400119538949694e-01, 2.094973116403050e+02, 1.468489144109681e+04, -2.700205129140079e-02, 1.173124957960971e+08, 8.202684295119634e+05, 6.524327559930360e+02, -8.880356965348102e-06, 1.700030625178899e+00
1834, 2.211257230893245e-01, 2.683634518312570e-01, 2.088063849902738e+02, 1.466528437706811e+04, -5.648192376823035e+00, 1.169249258705724e+08, 8.190974915249781e+05, 6.523198636594545e+02, -2.283986915701231e-03, 1.707977381521197e+00
