"Mach","Pressure","Temperature","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22314,1.6176e+05,348.37,2.0715,1,21.564,13.464,0,0
0.226,1.6206e+05,346.83,2.0827,1,21.638,13.538,0,0
0.22886,1.6235e+05,345.3,2.094,1,21.711,13.611,0,0
0.23172,1.6264e+05,343.76,2.1052,1,21.784,13.684,0,0
0.23458,1.6293e+05,342.23,2.1164,1,21.857,13.757,0,0
0.23744,1.6322e+05,340.69,2.1277,1,21.93,13.83,0,0
0.24029,1.6351e+05,339.16,2.1389,1,22.003,13.903,0,0
0.24315,1.638e+05,337.62,2.1502,1,22.076,13.976,0,0
0.24601,1.6409e+05,336.09,2.1614,1,22.149,14.049,0,0
0.25021,1.6417e+05,334.91,2.1727,1,22.222,14.122,0,0
0.25557,1.6405e+05,334.05,2.1839,1,22.295,14.195,0,0
0.26094,1.6394e+05,333.18,2.1952,1,22.369,14.269,0,0
0.2663,1.6382e+05,332.32,2.2064,1,22.442,14.342,0,0
0.27167,1.6371e+05,331.46,2.2177,1,22.515,14.415,0,0
0.27703,1.6359e+05,330.6,2.2289,1,22.588,14.488,0,0
0.2824,1.6348e+05,329.73,2.2402,1,22.661,14.561,0,0
0.28776,1.6336e+05,328.87,2.2514,1,22.734,14.634,0,0
0.29313,1.6325e+05,328.01,2.2626,1,22.807,14.707,0,0
0.29894,1.6319e+05,327.51,2.2739,1,22.88,14.78,0,0
0.30501,1.6317e+05,327.23,2.2851,1,22.953,14.853,0,0
0.31107,1.6314e+05,326.94,2.2964,1,23.027,14.926,0,0
0.31714,1.6312e+05,326.65,2.3076,1,23.1,15,0,0
0.3232,1.6309e+05,326.36,2.3189,1,23.173,15.073,0,0
0.32927,1.6306e+05,326.07,2.3301,1,23.246,15.146,0,0
0.33533,1.6304e+05,325.78,2.3414,1,23.319,15.219,0,0
0.3414,1.6301e+05,325.49,2.3526,1,23.392,15.292,0,0
0.34747,1.6299e+05,325.2,2.3639,1,23.465,15.365,0,0
0.35425,1.6287e+05,324.95,2.3751,1,23.538,15.438,0,0
0.36136,1.627e+05,324.72,2.3864,1,23.611,15.511,0,0
0.36847,1.6254e+05,324.5,2.3976,1,23.684,15.584,0,0
0.37558,1.6237e+05,324.27,2.4088,1,23.757,15.657,0,0
0.38269,1.6221e+05,324.04,2.4201,1,23.831,15.731,0,0
0.3898,1.6204e+05,323.81,2.4313,1,23.904,15.804,0,0
0.39691,1.6188e+05,323.58,2.4426,1,23.977,15.877,0,0
0.40401,1.6171e+05,323.35,2.4538,1,24.05,15.95,0,0
0.41112,1.6155e+05,323.12,2.4651,1,24.123,16.023,0,0
0.41907,1.6122e+05,322.74,2.4763,1,24.196,16.096,0,0
0.42741,1.6082e+05,322.3,2.4876,1,24.269,16.169,0,0
0.43575,1.6041e+05,321.86,2.4988,1,24.342,16.242,0,0
0.44409,1.6001e+05,321.42,2.5101,1,24.415,16.315,0,0
0.45243,1.5961e+05,320.98,2.5213,1,24.489,16.389,0,0
0.46077,1.592e+05,320.54,2.5326,1,24.562,16.462,0,0
0.46911,1.588e+05,320.1,2.5438,1,24.635,16.535,0,0
0.47745,1.584e+05,319.65,2.555,1,24.708,16.608,0,0
0.48579,1.58e+05,319.21,2.5663,1,24.781,16.681,0,0
0.49499,1.5748e+05,318.67,2.5775,1,24.854,16.754,0,0
0.50473,1.5689e+05,318.08,2.5888,1,24.927,16.827,0,0
0.51448,1.563e+05,317.48,2.6,1,25,16.9,0,0
0.52423,1.5571e+05,316.88,2.6113,1,25.073,16.973,0,0
0.53398,1.5512e+05,316.28,2.6225,1,25.146,17.046,0,0
0.54373,1.5453e+05,315.68,2.6338,1,25.219,17.119,0,0
0.55347,1.5394e+05,315.08,2.645,1,25.293,17.193,0,0
0.56322,1.5335e+05,314.48,2.6563,1,25.366,17.266,0,0
0.57297,1.5276e+05,313.88,2.6675,1,25.439,17.339,0,0
0.58343,1.5201e+05,313.2,2.6788,1,25.512,17.412,0,0
0.59468,1.5107e+05,312.43,2.69,1,25.585,17.485,0,0
0.60593,1.5013e+05,311.65,2.7012,1,25.658,17.558,0,0
0.61718,1.4919e+05,310.87,2.7125,1,25.731,17.631,0,0
