"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          41, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.62662667e-01, 1.64018628e+00, 6.09596237e-01, 3.40869262e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0131434028
          42, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.62994267e-01, 1.63968327e+00, 6.15078807e-01, 3.40827213e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0134326596
          43, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.63322247e-01, 1.63918642e+00, 6.20158100e-01, 3.40785707e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0137180108
          44, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.63647443e-01, 1.63869456e+00, 6.24850336e-01, 3.40744659e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0140185942
          45, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.63970572e-01, 1.63820666e+00, 6.29170732e-01, 3.40703998e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0142853916
          46, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.64292243e-01, 1.63772182e+00, 6.33133589e-01, 3.40663664e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0145795593
          47, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.64612976e-01, 1.63723925e+00, 6.36752422e-01, 3.40623603e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0148505755
          48, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.64933217e-01, 1.63675825e+00, 6.40039979e-01, 3.40583771e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0151398137
          49, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.65253329e-01, 1.63627822e+00, 6.43008157e-01, 3.40544131e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0154085110
          50, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.65573625e-01, 1.63579866e+00, 6.45668473e-01, 3.40504652e+00, 0.00000000e+00, 2.0000000000, 0.1000000000, 0.0156980672
