"Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22485,8.9002e+05,541.73,0.98454,1,0.028644,0.028644,0,0
0.22532,8.8996e+05,541.72,0.98447,1,0.028767,0.028767,0,0
0.22579,8.899e+05,541.72,0.9844,1,0.02889,0.02889,0,0
0.22627,8.8984e+05,541.72,0.98434,1,0.029013,0.029013,0,0
0.22674,8.8978e+05,541.72,0.98427,1,0.029136,0.029136,0,0
0.22721,8.8972e+05,541.72,0.9842,1,0.029259,0.029259,0,0
0.2277,8.8966e+05,541.72,0.98414,1,0.029382,0.029382,0,0
0.22819,8.8959e+05,541.71,0.98407,1,0.029505,0.029505,0,0
0.22868,8.8953e+05,541.71,0.984,1,0.029628,0.029628,0,0
0.22917,8.8947e+05,541.71,0.98393,1,0.029751,0.029751,0,0
0.22966,8.8941e+05,541.71,0.98386,1,0.029874,0.029874,0,0
0.23016,8.8934e+05,541.71,0.98378,1,0.029997,0.029997,0,0
0.23067,8.8927e+05,541.71,0.98371,1,0.03012,0.03012,0,0
0.23118,8.8921e+05,541.7,0.98364,1,0.030243,0.030243,0,0
0.23169,8.8914e+05,541.7,0.98356,1,0.030365,0.030365,0,0
0.2322,8.8908e+05,541.7,0.98349,1,0.030488,0.030488,0,0
0.23272,8.8901e+05,541.7,0.98342,1,0.030611,0.030611,0,0
0.23324,8.8894e+05,541.7,0.98334,1,0.030734,0.030734,0,0
0.23377,8.8887e+05,541.69,0.98327,1,0.030857,0.030857,0,0
0.2343,8.888e+05,541.69,0.98319,1,0.03098,0.03098,0,0
0.23483,8.8873e+05,541.69,0.98311,1,0.031103,0.031103,0,0
0.23536,8.8866e+05,541.69,0.98304,1,0.031226,0.031226,0,0
0.23589,8.8859e+05,541.69,0.98296,1,0.031349,0.031349,0,0
0.23644,8.8852e+05,541.68,0.98288,1,0.031472,0.031472,0,0
0.23698,8.8845e+05,541.68,0.9828,1,0.031595,0.031595,0,0
0.23753,8.8837e+05,541.68,0.98271,1,0.031718,0.031718,0,0
0.23808,8.883e+05,541.68,0.98263,1,0.031841,0.031841,0,0
0.23863,8.8823e+05,541.68,0.98255,1,0.031964,0.031964,0,0
0.23919,8.8815e+05,541.67,0.98247,1,0.032087,0.032087,0,0
0.23976,8.8807e+05,541.67,0.98238,1,0.032209,0.032209,0,0
0.24033,8.88e+05,541.67,0.9823,1,0.032332,0.032332,0,0
0.2409,8.8792e+05,541.67,0.98221,1,0.032455,0.032455,0,0
0.24147,8.8784e+05,541.66,0.98213,1,0.032578,0.032578,0,0
0.24204,8.8777e+05,541.66,0.98204,1,0.032701,0.032701,0,0
0.24262,8.8769e+05,541.66,0.98196,1,0.032824,0.032824,0,0
0.24321,8.8761e+05,541.66,0.98187,1,0.032947,0.032947,0,0
0.2438,8.8753e+05,541.66,0.98178,1,0.03307,0.03307,0,0
0.2444,8.8745e+05,541.65,0.98169,1,0.033193,0.033193,0,0
0.24499,8.8736e+05,541.65,0.9816,1,0.033316,0.033316,0,0
0.24558,8.8728e+05,541.65,0.98151,1,0.033439,0.033439,0,0
0.24619,8.872e+05,541.65,0.98141,1,0.033562,0.033562,0,0
0.24681,8.8711e+05,541.64,0.98132,1,0.033685,0.033685,0,0
0.24742,8.8703e+05,541.64,0.98122,1,0.033808,0.033808,0,0
0.24804,8.8694e+05,541.64,0.98113,1,0.033931,0.033931,0,0
0.24865,8.8685e+05,541.64,0.98103,1,0.034054,0.034054,0,0
0.24928,8.8677e+05,541.63,0.98094,1,0.034176,0.034176,0,0
0.24991,8.8668e+05,541.63,0.98084,1,0.034299,0.034299,0,0
0.25055,8.8659e+05,541.63,0.98074,1,0.034422,0.034422,0,0
0.25118,8.865e+05,541.63,0.98064,1,0.034545,0.034545,0,0
0.25182,8.8641e+05,541.62,0.98054,1,0.034668,0.034668,0,0
0.25245,8.8632e+05,541.62,0.98044,1,0.034791,0.034791,0,0
0.2531,8.8622e+05,541.62,0.98034,1,0.034914,0.034914,0,0
0.25376,8.8613e+05,541.62,0.98023,1,0.035037,0.035037,0,0
0.25442,8.8603e+05,541.61,0.98013,1,0.03516,0.03516,0,0
0.25508,8.8594e+05,541.61,0.98002,1,0.035283,0.035283,0,0
0.25573,8.8585e+05,541.61,0.97992,1,0.035406,0.035406,0,0
0.25639,8.8575e+05,541.6,0.97981,1,0.035529,0.035529,0,0
0.25707,8.8565e+05,541.6,0.9797,1,0.035652,0.035652,0,0
0.25776,8.8555e+05,541.6,0.97959,1,0.035775,0.035775,0,0
0.25844,8.8545e+05,541.6,0.97948,1,0.035898,0.035898,0,0
0.25912,8.8535e+05,541.59,0.97937,1,0.036021,0.036021,0,0
0.25981,8.8525e+05,541.59,0.97926,1,0.036143,0.036143,0,0
0.2605,8.8515e+05,541.59,0.97915,1,0.036266,0.036266,0,0
0.26121,8.8505e+05,541.58,0.97903,1,0.036389,0.036389,0,0
0.26192,8.8494e+05,541.58,0.97892,1,0.036512,0.036512,0,0
0.26263,8.8484e+05,541.58,0.9788,1,0.036635,0.036635,0,0
0.26333,8.8473e+05,541.58,0.97869,1,0.036758,0.036758,0,0
0.26404,8.8463e+05,541.57,0.97857,1,0.036881,0.036881,0,0
0.26477,8.8452e+05,541.57,0.97845,1,0.037004,0.037004,0,0
0.26551,8.8441e+05,541.57,0.97833,1,0.037127,0.037127,0,0
0.26624,8.843e+05,541.56,0.97821,1,0.03725,0.03725,0,0
0.26698,8.8419e+05,541.56,0.97808,1,0.037373,0.037373,0,0
0.26771,8.8408e+05,541.56,0.97796,1,0.037496,0.037496,0,0
