,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z
831,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.831,0.831,0.4,0,0.3616347279655032,0.5384284950506655
832,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.832,0.832,0.4,0,0.3616347279655032,0.5384284950506655
833,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.833,0.833,0.4,0,0.3616347279655032,0.5384284950506655
834,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.834,0.834,0.4,0,0.3616347279655032,0.5384284950506655
835,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.835,0.835,0.4,0,0.3616347279655032,0.5384284950506655
836,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.836,0.836,0.4,0,0.3616347279655032,0.5384284950506655
837,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.837,0.837,0.4,0,0.3616347279655032,0.5384284950506655
838,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.838,0.838,0.4,0,0.3616347279655032,0.5384284950506655
839,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.839,0.839,0.4,0,0.3616347279655032,0.5384284950506655
840,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42088,561.22,1,0.84,0.84,0.4,0,0.3616347279655032,0.5384284950506655
841,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42088,561.22,1,0.841,0.841,0.4,0,0.3616347279655032,0.5384284950506655
842,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42088,561.22,1,0.842,0.842,0.4,0,0.3616347279655032,0.5384284950506655
843,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42088,561.22,1,0.843,0.843,0.4,0,0.3616347279655032,0.5384284950506655
844,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42088,561.22,1,0.844,0.844,0.4,0,0.3616347279655032,0.5384284950506655
845,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42088,561.22,1,0.845,0.845,0.4,0,0.3616347279655032,0.5384284950506655
846,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42088,561.22,1,0.846,0.846,0.4,0,0.3616347279655032,0.5384284950506655
847,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42088,561.22,1,0.847,0.847,0.4,0,0.3616347279655032,0.5384284950506655
848,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42089,561.22,1,0.848,0.848,0.4,0,0.3616347279655032,0.5384284950506655
849,114.6,178270000.0,1.4354,11117,-3176.9,0,1224000.0,-0.42089,561.22,1,0.849,0.849,0.4,0,0.3616347279655032,0.5384284950506655
850,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42089,561.22,1,0.85,0.85,0.4,0,0.3616347279655032,0.5384284950506655
851,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42089,561.22,1,0.851,0.851,0.4,0,0.3616347279655032,0.5384284950506655
852,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42089,561.22,1,0.852,0.852,0.4,0,0.3616347279655032,0.5384284950506655
853,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42089,561.22,1,0.853,0.853,0.4,0,0.3616347279655032,0.5384284950506655
854,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42089,561.22,1,0.854,0.854,0.4,0,0.3616347279655032,0.5384284950506655
855,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42089,561.22,1,0.855,0.855,0.4,0,0.3616347279655032,0.5384284950506655
856,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.42089,561.22,1,0.856,0.856,0.4,0,0.3616347279655032,0.5384284950506655
857,114.6,178270000.0,1.4354,11117,-3176.8,0,1224000.0,-0.4209,561.22,1,0.857,0.857,0.4,0,0.3616347279655032,0.5384284950506655
858,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.4209,561.22,1,0.858,0.858,0.4,0,0.3616347279655032,0.5384284950506655
859,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.4209,561.22,1,0.859,0.859,0.4,0,0.3616347279655032,0.5384284950506655
860,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.4209,561.22,1,0.86,0.86,0.4,0,0.3616347279655032,0.5384284950506655
861,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.4209,561.22,1,0.861,0.861,0.4,0,0.3616347279655032,0.5384284950506655
862,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.4209,561.22,1,0.862,0.862,0.4,0,0.3616347279655032,0.5384284950506655
863,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.4209,561.22,1,0.863,0.863,0.4,0,0.3616347279655032,0.5384284950506655
864,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.4209,561.22,1,0.864,0.864,0.4,0,0.3616347279655032,0.5384284950506655
865,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.42091,561.22,1,0.865,0.865,0.4,0,0.3616347279655032,0.5384284950506655
866,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.42091,561.22,1,0.866,0.866,0.4,0,0.3616347279655032,0.5384284950506655
867,114.6,178270000.0,1.4354,11116,-3176.8,0,1224000.0,-0.42091,561.22,1,0.867,0.867,0.4,0,0.3616347279655032,0.5384284950506655
868,114.6,178260000.0,1.4354,11116,-3176.8,0,1224000.0,-0.42091,561.22,1,0.868,0.868,0.4,0,0.3616347279655032,0.5384284950506655
869,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42091,561.22,1,0.869,0.869,0.4,0,0.3616347279655032,0.5384284950506655
870,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42091,561.22,1,0.87,0.87,0.4,0,0.3616347279655032,0.5384284950506655
871,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42091,561.22,1,0.871,0.871,0.4,0,0.3616347279655032,0.5384284950506655
872,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42092,561.22,1,0.872,0.872,0.4,0,0.3616347279655032,0.5384284950506655
