"Density","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
326.17,0.10506,3895.3,-0.0056049,0,2.9267e+06,537.95,1,3.5671,-10.313,0,0
326.17,0.10521,3900.6,0.0041422,0,2.9266e+06,537.95,1,3.5927,-10.288,0,0
326.16,0.10536,3906.2,0.0083408,0,2.9266e+06,537.95,1,3.6184,-10.262,0,0
326.16,0.10552,3911.8,0.012387,0,2.9265e+06,537.95,1,3.6441,-10.236,0,0
326.15,0.10567,3917.3,0.016434,0,2.9264e+06,537.95,1,3.6697,-10.211,0,0
326.15,0.10583,3922.9,0.019638,0,2.9264e+06,537.95,1,3.6954,-10.185,0,0
326.14,0.10599,3928.8,0.014588,0,2.9263e+06,537.95,1,3.7211,-10.159,0,0
326.14,0.10615,3934.6,0.0095382,0,2.9262e+06,537.95,1,3.7467,-10.134,0,0
326.13,0.10632,3940.5,0.0044881,0,2.9262e+06,537.95,1,3.7724,-10.108,0,0
326.13,0.10648,3946.4,0.00084067,0,2.9261e+06,537.95,1,3.798,-10.082,0,0
326.12,0.10665,3952.5,0.0024131,0,2.926e+06,537.95,1,3.8237,-10.057,0,0
326.12,0.10682,3958.6,0.0039854,0,2.9259e+06,537.94,1,3.8494,-10.031,0,0
326.11,0.10699,3964.7,0.0055578,0,2.9259e+06,537.94,1,3.875,-10.005,0,0
326.1,0.10716,3970.9,0.003063,0,2.9258e+06,537.94,1,3.9007,-9.9798,0,0
326.1,0.10734,3977.3,-0.0076494,0,2.9257e+06,537.94,1,3.9264,-9.9541,0,0
326.09,0.10752,3983.7,-0.018362,0,2.9256e+06,537.94,1,3.952,-9.9285,0,0
326.09,0.1077,3990.1,-0.029074,0,2.9255e+06,537.94,1,3.9777,-9.9028,0,0
326.08,0.10788,3996.6,-0.03532,0,2.9255e+06,537.94,1,4.0033,-9.8771,0,0
326.07,0.10807,4003.3,-0.036113,0,2.9254e+06,537.94,1,4.029,-9.8515,0,0
326.07,0.10825,4010,-0.036906,0,2.9253e+06,537.94,1,4.0547,-9.8258,0,0
326.06,0.10844,4016.6,-0.037699,0,2.9252e+06,537.94,1,4.0803,-9.8002,0,0
326.05,0.10863,4023.5,-0.03741,0,2.9251e+06,537.94,1,4.106,-9.7745,0,0
326.05,0.10882,4030.4,-0.036302,0,2.925e+06,537.94,1,4.1317,-9.7488,0,0
326.04,0.10902,4037.4,-0.035194,0,2.925e+06,537.94,1,4.1573,-9.7232,0,0
326.03,0.10921,4044.3,-0.034087,0,2.9249e+06,537.94,1,4.183,-9.6975,0,0
