"C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.1233e+17,56.183,3721.7,0.18037,1.8901e+07,0.68042,7.6409e+05,538.22,0.84523,1,0.071549,0.071549,0,0
-5.1604e+17,56.076,3729.8,0.18109,1.8865e+07,0.68272,7.6307e+05,538.19,0.84411,1,0.071672,0.071672,0,0
-5.1976e+17,55.969,3737.9,0.18181,1.8828e+07,0.68501,7.6206e+05,538.17,0.84298,1,0.071795,0.071795,0,0
-5.2348e+17,55.862,3746.1,0.18255,1.8792e+07,0.6873,7.6104e+05,538.14,0.84186,1,0.071918,0.071918,0,0
-5.2729e+17,55.753,3754.1,0.18493,1.8755e+07,0.68962,7.6e+05,538.11,0.84071,1,0.072041,0.072041,0,0
-5.311e+17,55.645,3762.1,0.18731,1.8718e+07,0.69193,7.5896e+05,538.08,0.83956,1,0.072164,0.072164,0,0
-5.349e+17,55.536,3770.1,0.18969,1.868e+07,0.69425,7.5792e+05,538.05,0.83841,1,0.072287,0.072287,0,0
-5.3871e+17,55.427,3778.1,0.19208,1.8643e+07,0.69656,7.5688e+05,538.02,0.83726,1,0.07241,0.07241,0,0
-5.4261e+17,55.316,3785.9,0.19202,1.8606e+07,0.6989,7.5582e+05,538,0.83608,1,0.072533,0.072533,0,0
-5.4651e+17,55.205,3793.8,0.19183,1.8568e+07,0.70123,7.5475e+05,537.97,0.8349,1,0.072656,0.072656,0,0
-5.5041e+17,55.094,3801.7,0.19164,1.853e+07,0.70357,7.5369e+05,537.94,0.83372,1,0.072779,0.072779,0,0
-5.5431e+17,54.983,3809.5,0.19145,1.8492e+07,0.7059,7.5262e+05,537.91,0.83255,1,0.072902,0.072902,0,0
-5.583e+17,54.87,3817.3,0.20209,1.8454e+07,0.70825,7.5153e+05,537.88,0.83134,1,0.073025,0.073025,0,0
-5.6229e+17,54.758,3825,0.21413,1.8416e+07,0.71061,7.5044e+05,537.85,0.83013,1,0.073148,0.073148,0,0
-5.6629e+17,54.645,3832.7,0.22617,1.8377e+07,0.71297,7.4935e+05,537.82,0.82893,1,0.07327,0.07327,0,0
-5.7028e+17,54.532,3840.4,0.2382,1.8339e+07,0.71532,7.4826e+05,537.79,0.82772,1,0.073393,0.073393,0,0
-5.7436e+17,54.417,3848,0.25318,1.83e+07,0.7177,7.4715e+05,537.76,0.82649,1,0.073516,0.073516,0,0
-5.7845e+17,54.302,3855.5,0.26879,1.8261e+07,0.72007,7.4603e+05,537.73,0.82525,1,0.073639,0.073639,0,0
-5.8254e+17,54.188,3863.1,0.28439,1.8222e+07,0.72245,7.4491e+05,537.7,0.82402,1,0.073762,0.073762,0,0
-5.8663e+17,54.073,3870.6,0.3,1.8182e+07,0.72482,7.4379e+05,537.67,0.82278,1,0.073885,0.073885,0,0
-5.908e+17,53.956,3878,0.31472,1.8143e+07,0.72721,7.4266e+05,537.64,0.82152,1,0.074008,0.074008,0,0
-5.9498e+17,53.839,3885.4,0.32917,1.8103e+07,0.7296,7.4151e+05,537.61,0.82026,1,0.074131,0.074131,0,0
-5.9917e+17,53.723,3892.7,0.34361,1.8063e+07,0.732,7.4037e+05,537.57,0.81899,1,0.074254,0.074254,0,0
-6.0336e+17,53.606,3900.1,0.35806,1.8024e+07,0.73439,7.3923e+05,537.54,0.81773,1,0.074377,0.074377,0,0
-6.0761e+17,53.488,3907.4,0.36012,1.7983e+07,0.7368,7.3807e+05,537.51,0.81644,1,0.0745,0.0745,0,0
-6.1189e+17,53.369,3914.6,0.35686,1.7943e+07,0.73922,7.369e+05,537.48,0.81515,1,0.074623,0.074623,0,0
-6.1617e+17,53.25,3921.8,0.3536,1.7903e+07,0.74163,7.3573e+05,537.45,0.81386,1,0.074746,0.074746,0,0
-6.2044e+17,53.132,3929,0.35033,1.7862e+07,0.74405,7.3456e+05,537.42,0.81257,1,0.074869,0.074869,0,0
-6.2479e+17,53.012,3936,0.32986,1.7822e+07,0.74648,7.3337e+05,537.38,0.81125,1,0.074992,0.074992,0,0
-6.2918e+17,52.891,3943,0.29955,1.778e+07,0.74891,7.3217e+05,537.35,0.80993,1,0.075115,0.075115,0,0
-6.3357e+17,52.77,3950,0.26925,1.7739e+07,0.75135,7.3097e+05,537.32,0.8086,1,0.075237,0.075237,0,0
-6.3796e+17,52.649,3957,0.23895,1.7698e+07,0.75378,7.2978e+05,537.29,0.80727,1,0.07536,0.07536,0,0
-6.4239e+17,52.527,3963.9,0.22627,1.7657e+07,0.75623,7.2857e+05,537.25,0.80594,1,0.075483,0.075483,0,0
-6.4685e+17,52.405,3970.7,0.22665,1.7615e+07,0.75868,7.2735e+05,537.22,0.80459,1,0.075606,0.075606,0,0
-6.5132e+17,52.283,3977.5,0.22702,1.7574e+07,0.76113,7.2613e+05,537.19,0.80324,1,0.075729,0.075729,0,0
-6.5578e+17,52.161,3984.3,0.2274,1.7532e+07,0.76358,7.2491e+05,537.15,0.80189,1,0.075852,0.075852,0,0
-6.603e+17,52.038,3991,0.21688,1.749e+07,0.76604,7.2368e+05,537.12,0.80053,1,0.075975,0.075975,0,0
-6.6488e+17,51.914,3997.5,0.19596,1.7448e+07,0.76852,7.2243e+05,537.09,0.79914,1,0.076098,0.076098,0,0
-6.6946e+17,51.789,4004.1,0.17504,1.7406e+07,0.77099,7.2117e+05,537.05,0.79776,1,0.076221,0.076221,0,0
-6.7404e+17,51.664,4010.7,0.15413,1.7364e+07,0.77347,7.1992e+05,537.02,0.79638,1,0.076344,0.076344,0,0
-6.7866e+17,51.539,4017.2,0.15285,1.7321e+07,0.77594,7.1866e+05,536.98,0.79498,1,0.076467,0.076467,0,0
-6.8332e+17,51.414,4023.5,0.17564,1.7278e+07,0.77843,7.1739e+05,536.95,0.79357,1,0.07659,0.07659,0,0
-6.8798e+17,51.288,4029.8,0.19844,1.7235e+07,0.78091,7.1612e+05,536.91,0.79217,1,0.076713,0.076713,0,0
-6.9264e+17,51.162,4036.2,0.22123,1.7193e+07,0.7834,7.1484e+05,536.88,0.79076,1,0.076836,0.076836,0,0
-6.9733e+17,51.036,4042.4,0.23441,1.715e+07,0.78589,7.1356e+05,536.85,0.78934,1,0.076959,0.076959,0,0
-7.0209e+17,50.908,4048.5,0.23239,1.7106e+07,0.78839,7.1226e+05,536.81,0.7879,1,0.077082,0.077082,0,0
-7.0685e+17,50.781,4054.6,0.23037,1.7063e+07,0.79089,7.1096e+05,536.77,0.78646,1,0.077204,0.077204,0,0
-7.116e+17,50.653,4060.8,0.22834,1.702e+07,0.7934,7.0967e+05,536.74,0.78503,1,0.077327,0.077327,0,0
-7.1639e+17,50.525,4066.8,0.23377,1.6976e+07,0.7959,7.0836e+05,536.7,0.78358,1,0.07745,0.07745,0,0
-7.2124e+17,50.396,4072.7,0.25471,1.6932e+07,0.79843,7.0703e+05,536.67,0.78212,1,0.077573,0.077573,0,0
-7.2608e+17,50.267,4078.5,0.27566,1.6889e+07,0.80095,7.0571e+05,536.63,0.78065,1,0.077696,0.077696,0,0
-7.3093e+17,50.138,4084.4,0.2966,1.6845e+07,0.80347,7.0439e+05,536.6,0.77919,1,0.077819,0.077819,0,0
-7.3581e+17,50.008,4090.2,0.31944,1.6801e+07,0.806,7.0306e+05,536.56,0.77772,1,0.077942,0.077942,0,0
-7.4076e+17,49.878,4095.8,0.34765,1.6756e+07,0.80853,7.017e+05,536.52,0.77622,1,0.078065,0.078065,0,0
-7.4571e+17,49.747,4101.4,0.37586,1.6712e+07,0.81107,7.0035e+05,536.49,0.77473,1,0.078188,0.078188,0,0
-7.5065e+17,49.616,4107.1,0.40407,1.6667e+07,0.81361,6.99e+05,536.45,0.77323,1,0.078311,0.078311,0,0
-7.5562e+17,49.485,4112.6,0.42449,1.6623e+07,0.81615,6.9764e+05,536.41,0.77173,1,0.078434,0.078434,0,0
-7.6067e+17,49.352,4117.9,0.41374,1.6578e+07,0.8187,6.9627e+05,536.37,0.77021,1,0.078557,0.078557,0,0
-7.6571e+17,49.22,4123.3,0.40298,1.6533e+07,0.82125,6.9489e+05,536.34,0.76868,1,0.07868,0.07868,0,0
-7.7075e+17,49.088,4128.6,0.39223,1.6488e+07,0.82381,6.9351e+05,536.3,0.76716,1,0.078803,0.078803,0,0
-7.7581e+17,48.955,4133.9,0.38288,1.6443e+07,0.82636,6.9213e+05,536.26,0.76563,1,0.078926,0.078926,0,0
-7.8093e+17,48.822,4139,0.38236,1.6398e+07,0.82893,6.9073e+05,536.22,0.76409,1,0.079048,0.079048,0,0
-7.8605e+17,48.688,4144,0.38184,1.6352e+07,0.83149,6.8933e+05,536.18,0.76254,1,0.079171,0.079171,0,0
-7.9117e+17,48.555,4149.1,0.38132,1.6307e+07,0.83405,6.8794e+05,536.15,0.76099,1,0.079294,0.079294,0,0
-7.963e+17,48.421,4154.2,0.38077,1.6262e+07,0.83662,6.8653e+05,536.11,0.75944,1,0.079417,0.079417,0,0
-8.0151e+17,48.286,4158.9,0.37987,1.6216e+07,0.8392,6.8511e+05,536.07,0.75787,1,0.07954,0.07954,0,0
-8.0673e+17,48.151,4163.7,0.37896,1.617e+07,0.84178,6.8369e+05,536.03,0.75629,1,0.079663,0.079663,0,0
-8.1195e+17,48.016,4168.5,0.37805,1.6124e+07,0.84436,6.8226e+05,535.99,0.75471,1,0.079786,0.079786,0,0
-8.1716e+17,47.881,4173.3,0.37715,1.6078e+07,0.84694,6.8084e+05,535.95,0.75314,1,0.079909,0.079909,0,0
-8.2246e+17,47.745,4177.8,0.37695,1.6032e+07,0.84953,6.7939e+05,535.91,0.75154,1,0.080032,0.080032,0,0
-8.2777e+17,47.609,4182.3,0.37675,1.5986e+07,0.85213,6.7794e+05,535.87,0.74994,1,0.080155,0.080155,0,0
-8.3307e+17,47.472,4186.8,0.37654,1.594e+07,0.85472,6.7649e+05,535.83,0.74833,1,0.080278,0.080278,0,0
-8.3837e+17,47.336,4191.3,0.37634,1.5893e+07,0.85732,6.7505e+05,535.79,0.74673,1,0.080401,0.080401,0,0
-8.4376e+17,47.199,4195.5,0.37432,1.5847e+07,0.85992,6.7358e+05,535.75,0.74511,1,0.080524,0.080524,0,0
-8.4914e+17,47.061,4199.7,0.3722,1.58e+07,0.86253,6.721e+05,535.71,0.74348,1,0.080647,0.080647,0,0
-8.5453e+17,46.924,4203.9,0.37009,1.5753e+07,0.86514,6.7063e+05,535.67,0.74185,1,0.08077,0.08077,0,0
-8.5992e+17,46.787,4208.1,0.36797,1.5707e+07,0.86775,6.6916e+05,535.63,0.74022,1,0.080893,0.080893,0,0
-8.6538e+17,46.648,4212,0.36623,1.566e+07,0.87037,6.6767e+05,535.59,0.73857,1,0.081015,0.081015,0,0
-8.7085e+17,46.51,4215.9,0.36453,1.5613e+07,0.87299,6.6618e+05,535.55,0.73692,1,0.081138,0.081138,0,0
-8.7632e+17,46.371,4219.8,0.36284,1.5566e+07,0.87561,6.6468e+05,535.51,0.73527,1,0.081261,0.081261,0,0
-8.8179e+17,46.233,4223.6,0.36114,1.5519e+07,0.87823,6.6319e+05,535.47,0.73361,1,0.081384,0.081384,0,0
-8.8732e+17,46.093,4227.3,0.37054,1.5472e+07,0.88086,6.6168e+05,535.43,0.73194,1,0.081507,0.081507,0,0
-8.9287e+17,45.954,4230.8,0.38228,1.5424e+07,0.88348,6.6016e+05,535.39,0.73027,1,0.08163,0.08163,0,0
-8.9841e+17,45.815,4234.4,0.39403,1.5377e+07,0.88611,6.5865e+05,535.35,0.72859,1,0.081753,0.081753,0,0
-9.0395e+17,45.675,4238,0.40578,1.533e+07,0.88874,6.5714e+05,535.3,0.72692,1,0.081876,0.081876,0,0
-9.0956e+17,45.535,4241.3,0.41891,1.5282e+07,0.89138,6.5561e+05,535.26,0.72523,1,0.081999,0.081999,0,0
-9.1518e+17,45.395,4244.6,0.43246,1.5235e+07,0.89402,6.5407e+05,535.22,0.72353,1,0.082122,0.082122,0,0
-9.208e+17,45.255,4247.8,0.44602,1.5187e+07,0.89667,6.5253e+05,535.18,0.72183,1,0.082245,0.082245,0,0
-9.2643e+17,45.114,4251.1,0.45957,1.514e+07,0.89931,6.51e+05,535.14,0.72013,1,0.082368,0.082368,0,0
-9.3211e+17,44.973,4254.1,0.46457,1.5092e+07,0.90196,6.4945e+05,535.09,0.71841,1,0.082491,0.082491,0,0
-9.3782e+17,44.832,4257.1,0.4659,1.5044e+07,0.90462,6.4789e+05,535.05,0.71669,1,0.082614,0.082614,0,0
-9.4353e+17,44.69,4260,0.46724,1.4996e+07,0.90727,6.4633e+05,535.01,0.71496,1,0.082737,0.082737,0,0
-9.4924e+17,44.549,4262.9,0.46857,1.4948e+07,0.90993,6.4477e+05,534.97,0.71324,1,0.08286,0.08286,0,0
-9.5499e+17,44.407,4265.7,0.46584,1.49e+07,0.91259,6.432e+05,534.92,0.7115,1,0.082982,0.082982,0,0
-9.6076e+17,44.265,4268.3,0.46081,1.4852e+07,0.91526,6.4162e+05,534.88,0.70976,1,0.083105,0.083105,0,0
-9.6654e+17,44.123,4270.9,0.45578,1.4804e+07,0.91793,6.4004e+05,534.84,0.70801,1,0.083228,0.083228,0,0
-9.7232e+17,43.981,4273.5,0.45074,1.4756e+07,0.9206,6.3847e+05,534.79,0.70627,1,0.083351,0.083351,0,0
-9.7814e+17,43.839,4275.9,0.46276,1.4707e+07,0.92327,6.3688e+05,534.75,0.70451,1,0.083474,0.083474,0,0
-9.84e+17,43.696,4278.2,0.48735,1.4659e+07,0.92595,6.3528e+05,534.7,0.70274,1,0.083597,0.083597,0,0
