Mach,Pressure,Temperature,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
213,0.21605,891100.0,541.76,0.98573,1,0.026186,0.026186,0,0,705.1125355982921,350018.82814706065
214,0.21645,891050.0,541.76,0.98567,1,0.026309,0.026309,0,0,705.1187225004112,350022.16395802365
215,0.21686,891000.0,541.75,0.98562,1,0.026431,0.026431,0,0,705.0818400882983,350002.1471817879
216,0.21728,890950.0,541.75,0.98556,1,0.026554,0.026554,0,0,705.0880272453052,350005.51913106744
217,0.21769,890900.0,541.75,0.98551,1,0.026677,0.026677,0,0,705.0942138614267,350008.87547969585
218,0.21811,890850.0,541.75,0.98545,1,0.0268,0.0268,0,0,705.1003999369229,350012.2497217748
219,0.21853,890800.0,541.75,0.98539,1,0.026923,0.026923,0,0,705.1065854720528,350015.6251283788
220,0.21896,890740.0,541.75,0.98534,1,0.027046,0.027046,0,0,705.1140074012907,350019.55230998003
221,0.21939,890690.0,541.75,0.98528,1,0.027169,0.027169,0,0,705.120191748528,350022.9469287112
222,0.21982,890640.0,541.74,0.98522,1,0.027292,0.027292,0,0,705.0833140359217,350002.97582592134
223,0.22025,890590.0,541.74,0.98516,1,0.027415,0.027415,0,0,705.0894986379378,350006.3734941142
224,0.22069,890530.0,541.74,0.9851,1,0.027538,0.027538,0,0,705.096919448188,350010.32305659057
225,0.22113,890480.0,541.74,0.98504,1,0.027661,0.027661,0,0,705.1031028635603,350013.740221088
226,0.22157,890420.0,541.74,0.98498,1,0.027784,0.027784,0,0,705.1105222505892,350017.692222067
227,0.22202,890370.0,541.74,0.98492,1,0.027907,0.027907,0,0,705.1167044805695,350021.1290666389
228,0.22247,890310.0,541.74,0.98486,1,0.02803,0.02803,0,0,705.1241224458798,350025.1006983658
229,0.22292,890250.0,541.73,0.98479,1,0.028153,0.028153,0,0,705.0884861528044,350005.7103552077
230,0.22338,890200.0,541.73,0.98473,1,0.028276,0.028276,0,0,705.0946678837655,350009.169034127
231,0.22383,890140.0,541.73,0.98467,1,0.028398,0.028398,0,0,705.1020852507262,350013.1452682149
232,0.22429,890080.0,541.73,0.9846,1,0.028521,0.028521,0,0,705.1095018433532,350017.14006440947
233,0.22476,890020.0,541.73,0.98454,1,0.028644,0.028644,0,0,705.1169176620921,350021.1535377145
234,0.22522,889960.0,541.73,0.98447,1,0.028767,0.028767,0,0,705.1243327073882,350025.15105118416
235,0.22569,889910.0,541.72,0.98441,1,0.02889,0.02889,0,0,705.0874645283277,350005.27409215487
236,0.22616,889850.0,541.72,0.98434,1,0.029013,0.029013,0,0,705.0948797502368,350009.29254851234
237,0.22665,889780.0,541.72,0.98427,1,0.029136,0.029136,0,0,705.1035298656016,350013.88049810665
238,0.22713,889720.0,541.72,0.98421,1,0.029259,0.029259,0,0,705.110943413398,350017.91933362465
239,0.22761,889660.0,541.72,0.98414,1,0.029382,0.029382,0,0,705.1183561892315,350021.9596686591
240,0.22809,889600.0,541.71,0.98407,1,0.029505,0.029505,0,0,705.082727283102,350002.6441349731
241,0.22859,889540.0,541.71,0.984,1,0.029628,0.029628,0,0,705.090140107066,350006.72345889284
242,0.22908,889470.0,541.71,0.98393,1,0.029751,0.029751,0,0,705.0987874267914,350011.3196493991
243,0.22958,889410.0,541.71,0.98386,1,0.029874,0.029874,0,0,705.1061985800048,350015.40219416516
244,0.23007,889350.0,541.71,0.98379,1,0.029997,0.029997,0,0,705.1136089628068,350019.46863435203
245,0.23058,889280.0,541.71,0.98372,1,0.03012,0.03012,0,0,705.1222534362813,350024.10496070463
246,0.23109,889210.0,541.7,0.98364,1,0.030243,0.030243,0,0,705.0878639420804,350005.3892204281
247,0.2316,889150.0,541.7,0.98357,1,0.030365,0.030365,0,0,705.0952733470717,350009.49691931094
248,0.23211,889080.0,541.7,0.9835,1,0.030488,0.030488,0,0,705.103916680699,350014.13896939735
249,0.23263,889010.0,541.7,0.98342,1,0.030611,0.030611,0,0,705.1125589680145,350018.8006069045
250,0.23315,888940.0,541.7,0.98335,1,0.030734,0.030734,0,0,705.1212002097197,350023.46394049964
251,0.23367,888880.0,541.69,0.98327,1,0.030857,0.030857,0,0,705.0855796241239,350004.2459031179
252,0.2342,888810.0,541.69,0.98319,1,0.03098,0.03098,0,0,705.0942207738831,350008.93163271307
253,0.23473,888740.0,541.69,0.98312,1,0.031103,0.031103,0,0,705.1028608790313,350013.6191489624
254,0.23527,888670.0,541.69,0.98304,1,0.031226,0.031226,0,0,705.1114999402679,350018.32664720656
255,0.2358,888600.0,541.69,0.98296,1,0.031349,0.031349,0,0,705.1201379582932,350023.0177851685
256,0.23634,888520.0,541.68,0.98288,1,0.031472,0.031472,0,0,705.0869893369234,350004.9137522594
257,0.23689,888450.0,541.68,0.9828,1,0.031595,0.031595,0,0,705.0956269660434,350009.6458975077
